Country,2000-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2022
Sierra Leone,2.39,2.91,3.8,4.8,5.92,7.14,8.43,9.58
Philippines,44.22,46.05,48.5,52.28,56.19,60.25,64.44,68.05
Tajikistan,55.23,56.06,56.75,57.38,58.01,58.64,59.2,59.26
Somalia,6.91,8.43,10.41,12.53,14.82,17.3,19.96,21.82
Myanmar,56.06,57.98,59.9,61.11,61.98,62.85,63.72,64.31
Kenya,25.83,26.84,27.87,28.88,29.89,30.91,31.93,32.78
Madagascar,2.07,3.18,4.28,5.37,6.46,7.54,8.61,9.5
Cuba,52.92,53.9,54.27,54.53,54.76,54.96,55.13,55.59
Mali,4.97,6.95,9.13,11.5,14.07,16.83,19.79,22.39
Sweden,91.07,91.18,91.29,91.4,91.51,91.62,91.73,91.8
Zimbabwe,32.37,32.53,32.16,31.77,31.67,31.43,30.87,30.4
Mongolia,23.67,26.7,31.13,35.88,40.97,46.38,52.13,55.79
Italy,78.03,78.03,78.04,78.05,78.06,78.07,78.08,78.08
Senegal,14.52,16.41,18.35,19.39,18.27,16.6,14.36,14.03
Hungary,63.39,63.4,66.04,69.17,72.81,77.28,80.69,80.69
"Tanzania, United Republic of",5.55,8.22,10.79,13.25,15.29,17.18,19.07,19.76
Ireland,64.88,65.94,67.15,68.49,69.84,70.88,70.84,70.78
Montenegro,,,32.33,35.26,37.74,39.76,41.29,42.71
Benin,0.5,0.66,0.85,1.05,1.26,1.47,1.7,1.78
Guyana,59.71,58.0,56.34,54.67,53.0,51.33,49.65,48.24
Lithuania,64.22,67.03,69.83,73.0,77.57,82.58,87.03,89.95
Sao Tome and Principe,9.85,12.6,15.53,18.64,21.91,25.36,28.97,31.47
