Country,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2016,2017-2017,2018-2018,2019-2019
"Tanzania, United Republic of",,,,85.0,90.5,91.5,96.5,92.0,90.0,89.0,89.0
Nauru,,,,99.0,99.0,83.0,93.0,97.0,87.0,90.0,96.0
Mauritania,,,,64.0,69.5,80.0,77.0,74.0,81.0,81.0,81.0
Italy,86.5,94.5,96.0,96.0,95.5,95.5,93.5,93.0,94.0,94.0,95.0
Ethiopia,,,47.0,54.0,63.5,60.5,62.0,66.0,68.0,68.0,68.0
Luxembourg,98.0,98.0,98.5,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Mozambique,,,,74.0,76.0,83.0,88.0,88.0,88.0,88.0,88.0
Guatemala,,87.0,87.0,93.5,89.5,90.5,73.5,80.0,82.0,86.0,86.0
Iraq,,,,,,52.0,68.5,73.0,85.0,84.0,84.0
Brunei Darussalam,93.0,93.0,98.0,98.5,96.0,97.0,97.5,99.0,99.0,99.0,99.0
Botswana,,,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Montenegro,,,89.5,90.0,90.0,94.0,90.0,89.0,87.0,86.0,86.0
Azerbaijan,,,,,36.0,91.0,95.0,97.0,95.0,95.0,94.0
Malta,84.0,83.0,77.5,72.5,86.0,99.0,98.0,97.0,98.0,97.0,97.0
Egypt,,,,,,,93.5,95.0,94.0,95.0,95.0
Cuba,99.0,96.5,97.0,96.5,96.0,96.0,98.0,99.0,99.0,99.0,99.0
Djibouti,,,25.0,89.0,87.5,81.5,81.0,68.0,76.0,84.0,85.0
Colombia,81.0,91.0,93.0,92.0,86.5,91.0,90.5,91.0,92.0,92.0,92.0
India,,,,,,20.0,32.5,80.0,89.0,90.0,91.0
Cameroon,,,,80.0,83.0,87.0,80.5,75.0,74.0,67.0,67.0
Myanmar,,,,,,75.0,88.5,90.0,89.0,91.0,90.0
Lebanon,74.0,76.0,79.0,81.5,83.0,84.5,85.0,85.0,85.0,85.0,85.0
Poland,,22.0,59.5,98.5,99.0,99.0,98.0,98.0,96.0,95.0,95.0
Barbados,77.0,92.5,88.5,89.0,88.5,89.0,95.5,97.0,90.0,95.0,90.0
Marshall Islands,75.0,57.5,71.5,95.5,86.0,66.5,67.5,58.0,65.0,72.0,72.0
Kenya,78.5,74.5,80.5,88.0,93.0,93.5,90.5,90.0,82.0,92.0,92.0
Croatia,87.0,95.5,96.0,96.0,96.5,96.0,94.5,93.0,92.0,94.0,94.0
Denmark,96.0,94.0,90.0,88.5,90.5,94.0,93.5,94.0,98.0,97.0,97.0
Angola,,,43.0,46.0,49.5,53.0,55.0,55.0,52.0,59.0,53.0
