Country,2000-2004,2005-2009,2010-2013,2014-2017,2018-2021
Mozambique,4.0,6.31,8.13,9.55,10.5
Haiti,4.36,6.62,7.1,6.84,6.33
Botswana,127.79,165.01,250.61,274.55,298.23
Chad,5.87,7.99,9.08,7.58,5.38
Costa Rica,179.02,287.72,530.69,621.73,666.38
Slovenia,737.4,1303.4,1464.0,1357.5,1740.5
Bahamas,404.57,540.52,655.49,843.87,1031.34
Trinidad and Tobago,138.59,305.36,434.38,527.04,503.35
Equatorial Guinea,7.05,46.61,79.23,59.73,51.56
Iceland,2702.2,3947.4,3070.75,4004.5,5080.0
Viet Nam,9.75,21.3,42.07,57.58,69.21
Zambia,6.91,16.26,24.89,29.75,31.48
Congo,6.25,15.6,28.09,26.1,29.25
Sudan,7.09,25.7,20.43,17.89,7.54
Canada,1701.85,2834.44,3788.61,3425.18,3997.92
Estonia,229.0,621.25,795.22,931.19,1326.45
Cabo Verde,52.88,81.14,99.19,97.49,129.29
Czechia,459.32,966.35,1306.67,1204.47,1753.75
"Venezuela, Bolivarian Republic of",,,,,59.48
Montenegro,,,345.33,351.25,505.75
Serbia,116.8,307.56,358.6,303.67,430.89
San Marino,1844.89,2888.88,3686.54,3298.75,3519.78
Hungary,363.8,667.0,659.5,638.5,823.25
Egypt,20.99,27.59,39.57,44.81,47.77
"Micronesia, Federated States of",41.74,61.12,77.3,100.11,99.2
