Country,1990-1996,1997-2003,2004-2009,2010-2015,2016-2021
Norway,27.13,28.3,31.28,32.73,32.92
Cuba,16.22,16.22,16.22,16.22,16.22
Viet Nam,19.84,20.87,23.32,28.47,38.89
Nicaragua,9.26,6.17,7.49,12.42,13.28
Gambia,8.37,0.79,3.9,3.9,3.9
New Zealand,19.33,14.57,17.25,20.79,21.35
Tonga,2.45,2.05,1.61,1.61,1.61
Albania,5.75,7.0,15.57,8.71,5.14
Kenya,17.75,12.56,9.97,12.56,14.88
"Venezuela, Bolivarian Republic of",21.24,32.51,34.28,34.28,34.28
Algeria,10.73,12.14,13.84,3.04,2.69
Yemen,27.01,2.39,1.91,1.99,2.06
Kazakhstan,10.86,5.99,8.45,14.49,15.03
Singapore,64.05,71.82,75.9,76.04,80.12
Cabo Verde,30.6,30.6,27.68,27.1,27.1
Belize,16.09,18.46,18.46,18.46,18.46
Estonia,17.46,16.74,21.48,27.28,27.91
Finland,31.91,41.9,44.97,39.46,43.46
