Country,1996-1999,2000-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021
Netherlands,5.82,3.55,2.49,1.82,1.38,1.57,1.84,1.27
Djibouti,317.44,20.97,20.92,13.91,13.7,14.08,,
Fiji,,9.9,9.34,9.45,15.19,10.26,26.28,37.77
Eswatini,,3.03,5.04,3.81,3.84,0.19,0.3,0.89
Cabo Verde,,,13.94,12.48,11.53,11.03,,14.35
Uzbekistan,,4.23,5.09,2.99,2.59,7.93,,1.23
Haiti,,4.53,,3.96,6.51,7.06,7.04,7.34
Guinea-Bissau,,12.52,11.61,12.87,11.84,11.5,16.84,13.28
Iceland,8.22,8.11,8.22,3.64,2.29,2.9,5.24,5.57
Dominica,18.48,16.77,5.64,5.68,7.84,11.42,7.36,5.36
Uruguay,8.1,3.99,1.27,1.02,1.32,1.58,2.25,1.85
Solomon Islands,,,,17.09,,60.26,39.73,25.25
"Palestine, State of",,,,,,4.63,2.47,
Chad,15.92,21.6,22.93,17.84,18.04,20.05,17.53,
Croatia,5.82,3.55,2.49,1.82,1.38,1.57,1.84,1.27
