Country,1800-1830,1831-1861,1862-1892,1893-1923,1924-1954,1955-1985,1986-2015
Poland,167922.58,209996.77,287300.0,277406.45,166850.97,29788.39,5314.93
Comoros,1000.29,1207.77,1536.32,1916.58,2249.48,2483.26,2058.57
Guadeloupe,,,,,,191.5,86.13
Canada,11162.1,27821.94,41043.23,49918.06,24015.81,9215.48,2467.77
Mayotte,,,,,,96.17,56.67
Bosnia and Herzegovina,13589.35,16519.35,20020.97,25068.06,22322.58,8250.45,636.23
Eritrea,4475.26,6166.32,9271.61,13663.55,18363.55,19542.26,12910.5
Botswana,2152.87,2156.52,2172.35,2314.39,4535.1,3521.52,3032.9
San Marino,,,,,,,1.77
Hungary,53544.52,69840.97,104916.13,94177.1,44309.03,7030.68,1325.53
Marshall Islands,,,,,,87.59,81.23
Ecuador,10161.52,14903.87,21879.03,30814.84,41104.52,30939.68,11899.83
Jordan,4426.97,4871.9,5558.19,6490.39,6838.87,6070.55,4030.87
Libya,10838.06,12297.74,14792.58,17549.68,19802.58,14129.06,3593.3
French Guiana,,,,,,87.5,84.2
Benin,10952.26,13910.0,18900.32,25221.29,30692.9,33738.39,39431.67
Estonia,4705.81,5315.74,5929.45,4742.06,2300.68,671.68,208.9
