Country,1964-1968,1969-1973,1974-1978,1979-1982,1983-1986,1987-1990,1991-1994,1995-1998,1999-2002
Serbia,,,,,,,,3.53,1.9
Philippines,2.92,3.68,4.97,5.07,,,,,
Ireland,10.37,14.8,14.8,17.62,12.63,12.38,10.15,11.97,11.04
Denmark,12.45,15.0,8.62,8.14,9.59,8.75,8.28,8.04,7.36
Thailand,10.34,15.14,18.92,35.03,30.26,25.34,,,21.29
Portugal,18.48,27.05,31.4,31.84,29.4,28.25,26.6,22.27,18.11
cheslo,16.26,19.88,16.35,18.17,16.16,16.51,21.19,,
Croatia,,,,,29.94,32.04,28.47,10.7,11.6
Barbados,6.26,22.12,17.34,12.86,9.4,11.81,10.14,6.12,
Jordan,,,,,,,,,
United States,25.57,25.58,20.06,24.21,20.89,20.84,18.21,18.11,15.57
Slovakia,,,,,,,15.33,0.19,0.9
Maldives,,,,,,,,,
Trinidad and Tobago,18.48,23.79,23.42,21.11,20.78,12.88,12.53,,
yug,17.92,19.68,26.99,32.98,26.34,27.13,,,
Guadeloupe,,,55.29,37.43,,,,,
Austria,26.46,32.66,25.62,24.36,21.57,18.45,15.22,12.87,11.82
Belgium,22.84,25.94,21.02,22.43,20.4,19.34,19.11,13.54,12.01
Belarus,,,,17.85,11.97,20.82,24.95,21.85,20.1
Bahrain,,,,,7.89,10.33,,,
Syrian Arab Republic,,,,,,,,,
Mauritius,14.49,17.93,20.56,11.84,5.32,19.36,25.97,22.86,21.27
Mexico,10.83,11.29,24.38,32.09,24.75,22.24,22.2,19.79,
United Kingdom,9.46,9.92,8.84,9.6,8.73,8.57,7.54,6.8,6.4
Kazakhstan,,,,20.2,15.36,27.36,40.56,23.75,21.07
Greece,12.15,12.6,18.15,19.69,21.65,21.81,21.63,23.38,19.26
