Country,1964-1969,1971-1977,1978-1983,1984-1989,1990-1995,1996-2001,2002-2009,2010-2014
United Kingdom,0.76,1.62,1.32,1.18,1.34,0.95,0.57,0.34
Slovenia,,,,2.51,3.16,1.95,1.64,1.0
Cyprus,,,,,,,2.76,2.82
Jamaica,1.37,,3.31,0.97,,,,
Singapore,2.27,2.67,1.92,2.67,1.05,0.9,0.62,0.28
Dominica,,,15.22,6.6,,,,
Malta,1.87,1.86,2.14,1.24,2.38,2.01,1.72,2.93
Kyrgyzstan,,,15.95,11.59,26.49,15.71,11.65,8.97
Denmark,0.52,0.99,1.34,1.56,1.87,1.71,1.11,0.68
"Taiwan, Province of China",2.01,,,,,,,
South Africa,,,,,,,16.49,13.95
El Salvador,65.4,68.48,91.25,66.0,75.27,,,
Slovakia,,,,,3.83,3.6,2.43,0.92
Uzbekistan,,,10.46,8.44,11.6,6.94,4.61,
Croatia,,,,2.8,5.08,3.75,2.04,1.23
Belarus,,,8.84,8.47,14.71,17.48,,
Bermuda,,8.89,8.82,,,,,
Brazil,,,21.86,24.93,,,,
Georgia,,,4.06,5.04,1.73,4.71,2.16,1.27
Switzerland,0.75,0.79,1.45,1.59,1.84,1.29,1.01,0.72
