Country,1999-2002,2003-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2021
Trinidad and Tobago,90.26,88.97,89.78,86.74,,,
Belize,98.8,100.44,99.27,103.19,104.53,104.42,107.47
Macao,97.97,100.26,101.8,107.81,94.31,86.07,87.35
"Korea, Democratic People's Republic of",,,99.77,,,,
Spain,,100.31,99.25,97.4,96.27,95.16,96.92
Cyprus,98.53,96.07,98.53,100.07,98.09,100.43,101.16
Qatar,93.91,80.61,93.36,96.01,91.4,98.01,101.91
El Salvador,87.23,87.67,91.43,96.88,93.16,90.66,80.19
Comoros,52.91,55.86,68.19,,72.89,80.98,
Angola,,,45.65,55.37,,,
"Palestine, State of",94.13,97.87,92.22,95.07,97.65,97.66,97.3
Turks and Caicos Islands,105.7,113.12,107.51,,78.62,177.63,127.87
Lesotho,51.23,59.4,67.83,70.63,71.32,73.86,
Egypt,90.25,85.47,88.96,91.19,91.94,88.8,95.46
Mongolia,88.11,98.34,,,98.5,95.09,94.4
Türkiye,,,,,100.47,105.61,100.12
San Marino,86.43,,92.37,92.3,,82.7,97.77
Solomon Islands,,,,82.6,84.23,83.24,80.66
Botswana,87.33,89.74,91.82,94.59,93.38,,
Liechtenstein,,99.08,109.74,102.44,97.98,99.19,99.22
Honduras,,75.25,78.96,82.52,,,
Togo,82.19,84.39,74.62,79.07,86.15,95.02,89.35
Grenada,95.27,101.78,117.96,123.87,105.5,111.82,
Italy,101.38,102.3,103.65,100.71,99.28,99.05,98.63
