Country,1960-1967,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Comoros,8.64,9.75,10.27,10.24,10.83,11.47,11.02,10.08
Iraq,9.22,9.28,9.65,11.15,10.73,10.38,10.59,10.2
Philippines,10.18,11.26,11.14,10.7,10.59,10.16,10.04,9.44
Guinea-Bissau,8.57,10.3,9.49,9.64,10.98,10.96,10.34,10.63
Uzbekistan,6.24,9.71,11.08,10.17,10.08,11.09,10.25,7.7
"Micronesia, Federated States of",9.49,10.69,11.07,11.34,11.62,11.26,11.34,10.58
Cameroon,9.41,9.16,9.77,10.2,10.66,11.19,10.76,10.53
Gambia,9.64,8.95,9.78,10.25,10.36,10.72,10.5,10.77
Paraguay,10.34,10.81,11.28,10.46,10.16,10.97,10.53,9.1
Jamaica,8.75,9.74,11.3,10.96,10.14,10.54,10.06,8.15
Argentina,8.89,8.77,8.18,8.23,8.81,8.38,8.14,7.51
Lesotho,9.74,10.29,10.86,10.68,11.5,12.13,11.21,10.09
Timor-Leste,11.32,9.69,10.65,10.35,9.05,10.5,11.05,11.65
Brazil,9.96,10.78,10.99,10.09,10.03,9.51,8.4,7.42
Algeria,9.16,10.48,10.71,10.88,11.41,11.66,9.03,7.07
Antigua and Barbuda,10.22,11.26,12.81,10.02,8.46,8.26,7.93,6.84
kos,9.15,10.48,10.55,10.72,10.67,11.65,9.74,9.14
Spain,7.79,7.7,8.24,8.15,7.53,5.41,4.56,4.8
Australia,8.31,8.69,8.63,8.1,6.88,6.68,6.28,5.73
Togo,10.01,10.14,10.15,10.49,10.84,10.67,10.29,10.33
