Country,1996-1998,2000-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Malawi,29.23,17.7,11.21,11.98,18.93,23.68,23.46,20.26,13.1,13.57,12.14,11.85
Honduras,15.57,17.4,13.22,16.87,17.72,16.27,18.48,13.84,10.95,17.38,13.33,10.43
Australia,87.7,87.5,89.6,88.27,88.35,87.56,86.02,87.11,85.0,84.52,84.76,80.81
Guinea-Bissau,2.46,3.53,1.31,1.22,3.64,4.07,2.61,0.72,0.95,0.95,1.9,1.9
Myanmar,3.83,2.18,0.81,0.0,0.49,0.0,0.24,2.16,5.48,6.67,6.67,1.42
Belize,55.74,50.0,45.67,38.4,23.3,25.12,29.38,23.56,12.14,11.67,11.19,13.5
Haiti,4.92,1.91,0.0,0.73,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,24.04,24.46,38.07,37.9,42.48,35.89,42.65,40.3,36.9,35.0,38.57,36.02
"Moldova, Republic of",30.05,18.48,11.55,13.21,11.17,18.18,19.43,24.33,14.05,18.33,16.9,19.89
France,83.61,86.15,87.5,88.27,83.98,82.06,80.81,82.1,81.43,80.71,77.62,76.78
New Zealand,87.7,86.68,89.6,87.29,87.14,89.0,89.81,89.75,90.0,87.86,85.24,77.49
Ethiopia,3.83,4.07,6.62,14.42,24.27,22.97,24.17,21.96,15.48,14.76,16.19,13.04
"Virgin Islands, U.S.",,,55.22,72.13,68.93,69.14,68.96,69.69,70.95,53.81,49.52,47.39
Greenland,,,,,,62.44,62.32,59.9,57.14,55.48,53.33,50.24
Papua New Guinea,26.5,24.19,17.01,11.0,15.05,12.92,13.74,15.52,13.81,13.33,9.29,9.71
Rwanda,3.83,1.91,6.28,18.31,32.52,35.89,42.18,42.47,39.05,46.67,46.43,48.34
Sri Lanka,29.23,35.0,29.69,36.67,41.02,37.8,39.57,40.36,39.29,31.67,34.29,26.57
Equatorial Guinea,5.19,3.26,1.31,0.98,0.49,0.24,0.71,2.16,4.76,4.76,5.24,4.51
Croatia,46.72,55.7,58.21,60.63,57.52,61.72,62.32,65.4,56.9,60.0,55.95,58.76
"Korea, Democratic People's Republic of",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,1.43,1.42
Saint Lucia,,,48.26,66.52,58.5,64.35,63.03,48.83,33.81,41.9,38.33,21.08
Monaco,,,,,,,,,81.43,83.1,84.05,86.25
Eritrea,3.83,5.69,3.63,3.67,1.21,0.72,0.47,0.72,0.95,0.95,1.19,1.19
Mauritius,36.89,55.15,63.98,63.32,66.02,67.94,69.67,72.33,73.81,72.14,69.29,65.18
Sudan,5.19,4.08,2.05,1.71,2.67,1.67,0.71,0.96,1.67,2.38,1.67,1.19
Vanuatu,,,18.91,24.71,18.93,22.73,26.07,21.19,6.43,9.52,12.62,11.37
Azerbaijan,5.74,5.16,5.69,16.13,12.62,12.68,12.09,24.35,32.38,33.1,32.38,37.47
"Venezuela, Bolivarian Republic of",15.3,10.35,4.69,7.83,3.88,5.26,4.98,5.25,4.76,2.14,0.71,0.71
Andorra,82.51,78.8,76.89,75.55,74.76,74.64,75.12,75.9,81.43,83.1,81.19,77.74
