Country,1961-1973,1974-1986,1987-1998,1999-2010,2011-2022
Uruguay,57.2,52.21,57.08,7.77,8.75
Liberia,,,,7.45,3.42
Puerto Rico,3.82,5.64,3.85,3.82,2.08
Morocco,2.02,10.37,4.28,1.0,1.07
chanisl,,,,,3.02
Slovenia,,,9.1,4.34,1.8
Austria,4.68,5.3,2.24,1.59,2.2
"Congo, The Democratic Republic of the",25.56,46.58,3027.17,277.83,11.16
Mali,7.97,9.36,5.34,4.4,3.16
Sudan,7.06,23.54,71.27,13.26,64.36
Senegal,2.6,8.81,3.96,2.58,1.86
Seychelles,4.15,12.18,2.3,9.56,1.88
Côte d'Ivoire,3.21,11.51,9.99,2.23,2.09
Pakistan,4.41,10.45,9.75,12.53,8.11
France,4.96,9.8,1.91,1.62,1.26
Uzbekistan,,,334.73,32.02,15.43
Monaco,6.87,9.71,2.02,1.45,1.26
Madagascar,3.97,17.58,17.86,9.96,6.88
Trinidad and Tobago,3.96,14.29,4.09,5.83,4.21
Eswatini,13.99,9.64,12.49,8.12,4.87
Gabon,5.4,13.31,4.97,9.06,2.68
Belarus,,,626.13,63.69,23.34
Canada,3.42,4.92,2.47,2.43,2.48
Tuvalu,,,3.39,4.63,4.28
Djibouti,,,,,1.02
Cyprus,,9.19,4.81,2.77,0.87
Israel,4.05,,8.06,2.05,1.69
