Country,1990-1995,1996-2001,2002-2007,2008-2013,2014-2019
Australia,4.55,3.9,3.36,2.95,2.75
Viet Nam,11.23,9.84,7.9,6.46,5.95
Kuwait,3.94,4.12,3.45,3.18,2.4
Mauritania,13.82,11.35,11.5,11.58,10.87
Italy,12.46,10.14,8.27,6.95,6.07
New Zealand,5.96,5.14,4.33,3.64,3.34
Botswana,8.43,8.09,7.89,7.29,6.85
Nicaragua,12.26,15.54,14.69,13.0,11.04
Cambodia,11.55,10.26,8.67,7.65,7.16
Burkina Faso,12.6,10.95,10.96,11.11,11.82
"Venezuela, Bolivarian Republic of",14.3,11.95,9.95,8.55,8.93
Romania,8.83,8.51,7.86,6.77,6.06
Benin,11.66,10.3,10.62,11.16,10.92
cheslo,8.48,,,,
"Taiwan, Province of China",10.75,10.38,8.89,7.94,7.15
Guinea,13.65,12.91,12.76,12.55,12.2
Denmark,6.2,4.66,4.01,3.54,3.11
"Korea, Republic of",32.35,25.65,16.85,11.48,8.91
