Country,1965-1972,1973-1980,1981-1992,1993-2000,2001-2008,2009-2016,2017-2023
"Korea, Republic of",7.19,2.33,0.85,1.14,0.83,0.96,0.91
Equatorial Guinea,,15.37,24.87,,,,
Macao,,0.15,0.95,1.28,0.02,0.16,1.1
United States,5.06,5.01,4.33,2.94,2.47,2.42,2.07
Turks and Caicos Islands,,,,1.24,2.07,0.75,
Comoros,,,,0.01,0.04,0.1,0.02
Ghana,11.17,9.57,4.63,8.84,4.81,2.7,1.36
Viet Nam,,,,2.22,2.92,3.02,1.9
Croatia,,,5.62,4.83,3.72,4.56,4.22
Brunei Darussalam,0.36,0.04,0.0,0.0,0.0,0.02,0.02
Slovenia,,,1.81,1.57,1.29,2.03,1.56
Uzbekistan,,,,,,,3.26
Cayman Islands,,12.05,,,,,0.8
Palau,,,,,,1.75,0.17
Greenland,,2.39,0.56,0.67,0.26,0.01,0.01
Aruba,,,,0.74,0.83,0.07,0.11
Bermuda,0.02,0.02,0.0,,,0.02,0.04
Burkina Faso,20.88,34.85,48.84,63.75,61.07,16.73,9.25
"Congo, The Democratic Republic of the",3.74,4.67,,,,0.69,0.5
Guinea-Bissau,5.84,8.34,,,0.47,12.16,31.45
Rwanda,,,,9.94,4.16,3.85,1.28
Cameroon,17.59,16.71,13.02,23.09,16.74,20.72,19.54
Ireland,2.96,2.28,1.95,0.91,0.46,0.55,0.35
Honduras,11.99,12.35,6.39,3.31,3.58,1.28,1.19
Timor-Leste,,,,,0.28,32.63,5.83
Turkmenistan,,,,16.79,,,
"Virgin Islands, U.S.",0.01,0.01,,,,,
Argentina,11.36,5.99,3.62,2.83,1.39,1.06,0.86
Eritrea,,,,9.75,25.79,,
New Caledonia,,0.28,0.3,0.16,0.13,0.14,
