Country,2005-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023
Congo,2.5,2.5,2.5,2.5,2.67,2.5
Azerbaijan,3.0,3.0,,,,
South Sudan,,,2.0,1.5,1.0,1.0
Benin,3.0,3.0,3.0,3.0,3.0,3.33
Uzbekistan,2.62,3.0,3.0,3.0,3.0,3.5
Indonesia,3.5,,,,,
Cambodia,2.5,2.5,2.5,2.5,2.5,2.5
kos,,2.67,3.0,3.0,3.0,3.0
Guyana,2.5,2.5,2.5,2.5,3.0,3.0
Marshall Islands,,2.0,2.33,2.0,2.0,2.0
"Bolivia, Plurinational State of",3.12,3.0,3.0,3.0,,
Armenia,4.0,3.83,3.5,,,
Zimbabwe,1.62,1.83,2.17,2.5,2.83,3.0
Afghanistan,2.0,2.17,2.5,2.5,2.5,1.5
Sao Tome and Principe,3.0,3.0,3.0,3.0,3.0,3.0
Yemen,3.0,3.0,3.0,2.17,1.5,1.5
Ghana,3.5,3.5,3.5,3.5,3.5,3.5
Sri Lanka,3.0,3.0,3.0,3.0,3.5,3.5
Nicaragua,3.12,3.0,3.0,3.0,3.0,2.5
Bhutan,4.0,4.0,4.0,4.0,4.0,4.0
Burkina Faso,3.5,3.5,3.5,3.5,3.17,3.17
India,3.5,3.5,3.5,,,
Guinea-Bissau,2.5,2.5,2.5,2.33,2.0,2.0
Ethiopia,3.0,3.5,3.5,3.5,4.0,3.83
Timor-Leste,2.5,2.33,2.33,2.0,2.0,2.0
Djibouti,2.5,2.5,2.5,2.5,3.33,3.5
