Country,1950-1966,1967-1983,1984-2000,2001-2017,2018-2034,2035-2051,2052-2068,2069-2084,2085-2100
Nepal,2.64,2.97,3.19,4.37,6.2,8.04,12.25,20.54,25.81
New Caledonia,3.42,3.19,4.17,6.93,11.87,18.16,22.05,25.28,28.35
Armenia,5.95,4.34,5.1,8.49,11.59,13.8,21.66,26.83,32.48
"Virgin Islands, U.S.",5.91,3.74,6.04,12.56,19.02,21.9,20.86,23.75,31.93
Senegal,2.78,2.59,2.87,2.92,2.72,3.89,6.33,9.67,13.61
Gambia,2.41,3.06,3.7,2.81,2.56,3.89,5.85,9.36,13.13
Uruguay,7.43,8.33,9.77,11.28,13.56,18.18,24.36,30.63,32.94
Guatemala,2.39,2.57,3.35,3.92,4.69,7.17,13.41,20.39,24.98
Georgia,7.21,6.3,7.32,10.96,11.83,14.6,18.82,21.54,27.07
Nigeria,2.84,2.98,2.96,2.9,2.91,3.6,4.89,7.28,10.31
Ghana,3.61,2.82,2.65,2.94,3.55,5.4,7.95,10.29,13.07
Côte d'Ivoire,2.19,2.46,2.58,2.55,2.51,3.66,4.93,6.98,9.0
Kyrgyzstan,6.35,3.7,3.48,3.65,4.41,6.24,9.63,12.57,17.42
Puerto Rico,4.69,7.08,9.17,13.41,21.95,26.84,32.19,40.96,44.65
Serbia,4.7,7.82,9.59,15.17,17.65,23.48,29.77,31.42,34.35
Central African Republic,4.18,3.64,2.54,2.15,2.29,1.97,2.8,5.46,8.55
Wallis and Futuna,2.49,3.28,4.85,7.75,15.64,22.43,20.23,23.8,30.3
Belarus,5.74,6.71,7.95,10.49,14.16,18.64,23.76,24.94,27.26
"Taiwan, Province of China",1.56,2.97,6.79,9.94,18.03,28.04,35.6,36.33,35.1
"Tanzania, United Republic of",2.11,2.49,2.65,2.74,2.79,3.62,4.94,7.78,11.72
Tokelau,4.02,5.21,6.02,8.0,8.58,12.07,13.24,18.81,22.62
French Polynesia,2.86,2.4,2.72,5.89,12.25,20.71,26.96,31.89,34.97
North Macedonia,4.92,5.19,7.27,10.1,14.69,21.38,29.39,33.24,34.77
Turkmenistan,5.12,3.6,2.87,3.33,5.05,7.46,10.86,13.5,17.73
Slovenia,6.51,8.36,8.44,12.93,20.13,27.55,31.53,31.06,31.73
Eritrea,2.54,2.22,2.54,3.17,3.66,4.73,6.97,12.15,16.47
Saint Lucia,2.86,3.84,5.13,6.88,9.61,15.88,23.83,29.23,30.47
Denmark,9.6,11.62,12.83,14.78,20.03,22.91,24.58,27.38,28.64
Jordan,4.43,2.77,2.19,3.0,4.5,9.33,14.91,19.96,24.31
Mongolia,4.06,4.55,3.15,3.13,4.59,8.9,13.66,16.88,22.89
