Country,1970-1980,1981-1991,1992-2002,2003-2013,2014-2023
Poland,,,32035718582.09,80439927303.22,141464976790.73
Lesotho,-103362277.36,-261022678.06,,-654727117.78,-483239354.41
Faroe Islands,,,262867612.77,311017034.71,874110229.24
Cuba,1758080254.44,3107389473.0,2190978287.12,6903992153.54,11917056235.94
Nicaragua,,,320421445.37,500733338.49,1717906105.1
Philippines,,10264447091.63,13753783463.14,30910003888.89,46611777939.96
Sudan,405673935.89,1478769740.88,1915247841.68,13891743457.25,2625235794.22
Brunei Darussalam,1778030892.17,2594119236.61,1937016707.43,7994971941.19,7574563617.65
Cameroon,635075337.62,2294747456.65,2292065095.75,4231105715.7,6141488880.64
Ukraine,,22001715828.03,12716555515.73,22703378041.92,9664008021.18
Madagascar,245031105.08,949077589.0,579739555.68,1103760430.31,1553054620.08
Puerto Rico,506172727.27,3526077272.73,14388719000.0,28456777663.64,26545620000.0
Eswatini,70856775.28,40742041.4,76461576.44,355415284.39,579533089.77
El Salvador,370185445.45,204170602.87,356277300.0,-520113645.45,-70660000.0
San Marino,,,,,690575221.51
China,53165602932.41,103045329123.66,360761087774.6,2379759487781.96,6254694668298.5
Guinea,,1563680840.51,2104512353.78,698560619.67,1706005581.32
Vanuatu,,19272401.6,31982482.9,112347674.53,152546242.21
