Country,1960-1969,1970-1978,1979-1987,1988-1996,1997-2005,2006-2014,2015-2023
Albania,946075.7,1217802.0,1470238.89,1627165.11,1526267.67,1464471.11,1418788.67
Bosnia and Herzegovina,1708798.5,1948670.67,2132800.0,2053894.67,2022096.78,1859927.0,1650771.78
New Caledonia,47651.8,67163.89,76391.56,92003.67,109970.0,126741.11,134939.44
Finland,2193918.4,2263165.44,2347670.78,2447845.44,2534618.56,2631950.44,2726702.33
Côte d'Ivoire,2263005.4,3384244.56,4755327.44,6525762.44,8682235.44,10715656.44,13233490.11
Israel,1258572.9,1671662.56,2027291.67,2493921.67,3158587.33,3773957.33,4508785.11
Andorra,6943.8,13878.89,21598.89,30207.56,36495.11,37710.78,38752.67
Bermuda,25196.2,27250.67,27753.22,29091.78,30392.56,31610.67,30982.78
Jordan,565081.4,932962.33,1301153.67,2011578.11,2686408.22,3639891.0,5511221.11
Sweden,3850242.8,4066797.44,4125101.78,4278334.89,4410921.33,4670600.11,5140262.22
El Salvador,1564426.5,1987065.44,2313561.56,2676331.67,2871228.0,2923859.56,2998331.0
Malaysia,4561400.1,5778440.44,7283660.33,9403225.0,11984168.33,14726768.0,16768569.44
Kazakhstan,5177001.8,6263207.0,7208976.44,7792474.44,7143251.22,7760116.89,8942769.67
Paraguay,1053308.6,1328855.11,1693441.22,2163017.78,2617145.67,2915030.89,3278052.44
gbm,23245.2,27930.44,30836.11,33743.11,37346.22,41130.56,41602.67
Mauritania,475089.2,631602.56,823859.78,1080261.67,1374875.22,1688882.11,2149079.22
Central African Republic,909231.5,1106741.11,1256885.11,1517151.78,1930127.78,2311092.44,2620420.11
"Korea, Republic of",14237294.8,17429902.44,19905034.56,21975545.11,23698882.89,24762630.56,25770665.56
Gabon,267377.7,320142.56,401190.56,513993.78,653692.0,871677.33,1141624.44
Belgium,4606380.6,4773192.89,4817193.22,4907211.33,5040871.67,5344156.33,5673386.44
