Country,1991-1996,1997-2002,2003-2008,2009-2014,2015-2019
Sri Lanka,15.81,16.06,17.34,17.94,18.29
Côte d'Ivoire,9.27,8.78,7.95,7.89,9.04
Brazil,15.51,14.27,14.4,13.21,11.67
Mongolia,9.06,6.98,5.54,6.6,7.6
Italy,24.66,23.29,21.25,18.63,18.33
Turkmenistan,33.91,30.97,29.22,29.54,31.06
Benin,17.33,16.97,16.13,15.28,14.86
United Kingdom,20.19,17.32,13.11,9.85,9.31
Angola,3.37,3.24,2.72,1.69,1.31
Saint Lucia,12.04,9.45,6.8,5.88,5.65
Singapore,25.92,20.98,17.37,14.29,10.63
Ghana,11.83,11.66,11.23,9.86,15.06
Jamaica,10.92,7.99,6.58,6.64,6.51
Gambia,10.72,10.49,10.16,9.68,9.28
Belgium,21.5,18.85,16.95,13.76,12.58
Mexico,19.05,18.94,17.17,15.57,16.56
Egypt,13.94,12.48,11.29,11.08,12.0
