Country,1990-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014
Dominican Republic,7.03,7.55,8.25,10.66,13.84,16.17
Sri Lanka,8.42,10.0,10.47,12.46,16.67,20.83
Guatemala,7.32,7.99,7.97,9.05,9.98,9.68
Lithuania,2.24,2.68,3.91,5.19,7.21,10.66
Belize,7.67,,,16.35,16.94,
Bosnia and Herzegovina,1.34,4.4,4.4,4.86,5.57,5.45
Austria,6.45,7.11,8.02,8.58,10.3,12.12
"Korea, Republic of",4.0,4.28,4.8,5.64,6.37,6.46
Australia,3.68,4.19,4.85,5.72,6.55,8.05
Jamaica,4.6,4.75,4.65,5.32,6.93,8.38
Kazakhstan,1.69,2.23,3.42,3.9,4.31,5.03
Uruguay,9.87,11.39,12.11,13.35,13.78,14.76
Norway,3.96,4.96,6.2,7.88,8.94,11.14
Albania,4.2,6.8,6.77,8.19,11.88,13.94
Finland,3.13,3.49,4.2,4.55,5.8,6.57
Guinea-Bissau,10.75,,,18.49,19.24,
South Sudan,,,,,,25.77
Montenegro,,,,5.11,7.06,8.87
Sudan,4.33,5.45,6.56,8.45,10.25,10.1
