Country,2005-2008,2009-2011,2012-2014,2015-2017,2018-2020
Azerbaijan,5.2,3.33,3.09,3.2,3.24
Suriname,,3.03,2.78,3.66,
"Moldova, Republic of",6.52,7.77,5.69,5.45,4.95
Liberia,,2.36,2.66,4.47,
Saudi Arabia,2.04,1.92,1.54,1.5,2.36
Georgia,16.74,22.99,21.15,19.0,16.08
Sri Lanka,,1.9,1.61,1.47,1.56
Rwanda,,,1.16,14.26,12.35
"Congo, The Democratic Republic of the",3.03,,4.82,,
Sudan,,9.35,,,
nld_curacao,,,,,10.41
Luxembourg,3.06,3.27,4.35,4.91,4.78
Bhutan,,1.45,1.51,1.45,
Anguilla,,,,,
"Virgin Islands, British",,,,,
Greece,4.93,10.18,22.55,18.66,13.66
Macao,2.99,2.82,1.66,1.84,1.88
Honduras,2.66,2.59,3.81,3.64,5.02
Sweden,4.83,6.13,6.05,5.65,5.55
Chile,5.79,6.51,4.98,5.94,7.91
India,0.99,0.84,1.08,,2.77
Lao People's Democratic Republic,,0.44,,9.42,
Denmark,2.83,6.51,6.06,4.92,4.23
