Country,1990-1996,1997-2003,2004-2010,2011-2017,2018-2023
New Zealand,110884473059.67,140315840560.36,174733994403.45,202004834371.14,242948586987.96
Mauritius,11038107815.66,15517936015.56,20745564718.66,27313759223.61,30962405863.87
Gabon,26652346005.03,30044825880.85,31189253282.17,40531028853.91,46067626857.71
Germany,3615551693322.13,4035180490621.55,4359147303354.46,4804030329867.95,5159518927404.14
Netherlands,688400954530.24,869037702929.66,995740475803.45,1054666836669.27,1180979325359.11
Bahrain,26336501536.57,35585902516.12,52405002372.26,69819434531.4,81140115363.8
Bangladesh,264321302235.19,365237182633.57,532636604020.81,811022344045.09,1222779271642.83
Sri Lanka,87259574743.77,120560314775.94,172407425938.24,267375767338.87,306928717624.3
United States,11895565955605.78,15196107833865.22,18036123360184.46,20172488619431.47,23278186640922.38
Myanmar,36257751701.6,63359913618.82,143577089858.18,252875766798.28,306408063969.2
Mexico,1570248680787.17,1972185704688.37,2253273882233.52,2563821879296.61,2735912404795.39
Saint Kitts and Nevis,641190216.72,874913706.48,1105289618.69,1305898978.05,1375733979.22
"Congo, The Democratic Republic of the",62511819131.85,47268485981.4,60433430874.43,93922935541.21,130799355383.54
Liberia,2177492928.78,4493254304.79,5185925839.2,7697450790.07,8211823645.58
Luxembourg,35935965459.95,48965286547.81,63669816781.83,73714554513.23,85444420629.88
Tonga,444285010.3,550397797.58,592029463.68,661977929.5,721240154.16
Oman,74859511700.71,97647267655.85,116809350619.3,160514300851.96,178600442727.52
