Country,2009-2010,2011-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
El Salvador,86.47,81.54,85.45,84.71,82.86,80.52,79.47,83.47,80.05,75.7,82.41,80.81
Ecuador,75.77,75.08,74.19,73.24,75.45,76.84,76.25,75.3,74.59,,72.32,73.48
Guyana,,,,,,,,80.07,77.43,,,
Sri Lanka,79.3,66.48,80.21,81.85,82.86,82.91,81.94,80.99,83.84,79.9,82.6,80.0
Rwanda,,,,90.35,,,67.3,68.89,65.92,75.23,70.67,72.19
Australia,82.24,82.36,78.25,77.04,78.22,77.2,78.2,75.92,76.92,75.45,75.47,
Uzbekistan,,,,,,,,,,65.12,,
Belgium,76.28,75.06,74.69,75.16,74.35,75.13,75.79,74.21,74.82,74.29,74.91,75.67
Spain,81.37,81.63,82.14,80.89,80.56,81.31,80.04,79.8,78.94,78.37,78.57,78.85
Cyprus,83.5,81.9,81.9,82.99,83.16,81.3,80.84,79.68,80.99,81.26,80.75,80.85
Mozambique,,,,,69.04,,,,,,,
Côte d'Ivoire,,71.06,73.84,,,54.36,31.19,,66.45,,,65.8
Mauritius,57.43,63.84,69.07,69.55,71.59,71.0,72.97,73.62,73.06,86.9,,
Lesotho,,,,,,,,,86.01,,,
Singapore,82.42,,,84.28,,,,,,,83.52,82.4
Latvia,82.52,83.96,81.98,81.49,82.19,83.38,82.95,83.54,84.54,81.25,75.95,74.21
Brazil,80.79,77.6,78.73,80.84,78.79,78.81,78.95,78.7,79.05,74.76,75.91,77.72
Nigeria,,,,,,72.23,,,69.93,,,71.13
Egypt,61.32,61.99,63.63,61.93,62.71,65.38,64.02,55.46,,43.78,43.95,44.26
Albania,81.03,74.34,73.86,74.79,72.39,75.26,73.09,71.36,75.69,,,
Cambodia,73.61,86.64,75.68,58.06,71.05,76.86,80.26,,65.79,76.47,72.79,
India,30.66,32.53,,,,,,31.85,34.45,32.9,33.15,35.43
Ghana,73.15,,75.06,,80.26,,62.5,,,,,54.77
Timor-Leste,44.46,,59.01,,,61.9,,,,,56.32,34.52
Bangladesh,68.45,,54.69,,,52.88,56.72,,,,,44.74
