Country,1950-1971,1972-1993,1994-2015,2016-2037,2038-2058,2059-2079,2080-2100
Tajikistan,15.58,10.95,7.01,5.01,6.02,7.35,8.56
Sao Tome and Principe,20.41,11.29,8.21,5.86,6.21,7.19,8.86
Fiji,12.46,6.83,6.8,8.51,9.87,11.24,12.48
New Caledonia,12.93,6.7,4.91,5.85,8.24,10.17,10.85
stbar,12.05,5.93,5.62,6.53,12.64,19.25,20.85
"Korea, Democratic People's Republic of",17.24,6.28,9.13,9.89,12.94,13.7,13.86
Croatia,10.86,10.88,11.91,13.64,15.01,15.97,15.82
Malawi,30.01,22.75,15.25,6.1,5.72,7.04,8.69
Tuvalu,19.92,10.59,9.98,10.15,9.78,9.62,10.35
Mauritania,18.85,11.84,8.68,6.32,5.52,6.38,7.83
gbm,16.49,16.07,11.64,10.87,12.86,12.34,11.44
Namibia,18.17,10.66,11.36,8.38,8.22,9.24,10.44
Ecuador,15.42,7.84,4.94,5.4,6.95,9.61,12.03
Nauru,11.55,8.27,7.95,6.95,8.32,9.2,10.56
Malta,10.2,8.31,7.64,8.19,11.17,14.55,16.29
Bahrain,16.03,3.92,2.35,2.6,5.13,7.94,7.03
"Tanzania, United Republic of",20.59,15.55,11.12,5.5,4.81,5.36,6.54
Barbados,10.18,8.87,9.25,9.85,13.08,13.57,14.11
