Country,1975-1981,1982-1988,1989-1995,1996-2002,2003-2009,2010-2016,2017-2022
Belarus,,,19.08,12.26,8.53,7.47,7.07
Costa Rica,20.33,20.5,13.39,10.63,8.1,5.22,4.37
Japan,,,1.77,1.52,1.13,1.08,1.04
Nigeria,12.24,18.14,22.6,27.19,26.94,21.48,22.52
Myanmar,,,,56.28,44.44,29.96,22.31
"Iran, Islamic Republic of",8.52,13.69,12.24,9.55,6.88,8.0,11.94
Haiti,,31.11,30.38,19.07,17.81,18.87,19.67
Nicaragua,,,19.55,18.37,16.06,16.81,15.65
Bahamas,,1.9,2.53,1.56,1.11,0.97,0.65
North Macedonia,,,10.62,10.36,10.37,9.67,8.05
Türkiye,29.91,19.82,15.84,11.89,8.48,7.3,6.15
Peru,15.64,,8.09,8.1,7.0,6.87,7.21
Singapore,1.77,0.89,0.23,0.11,0.05,0.03,0.03
Czechia,,,4.19,3.32,2.15,2.12,1.93
Kuwait,,,0.42,0.43,0.29,0.44,0.45
Benin,33.32,33.12,34.43,29.51,26.44,26.06,27.66
Thailand,24.49,17.08,11.18,9.01,9.51,10.34,8.49
