Country,1963-1966,1967-1970,1971-1974,1975-1978,1979-1982,1983-1986,1987-1990,1991-1993,1994-1996,1997-1999,2000-2002
Netherlands,18.98,21.52,18.9,14.64,11.01,11.07,9.4,7.13,6.54,5.29,4.9
Luxembourg,,32.95,25.32,20.74,26.77,20.33,20.42,15.61,15.09,8.94,8.88
deu_west,23.36,23.72,20.68,16.74,18.34,15.12,12.36,,,,
Canada,25.75,25.36,23.99,18.9,21.99,16.81,15.39,13.07,11.61,10.44,8.08
Ecuador,18.67,22.22,29.31,35.58,40.16,32.68,32.42,32.35,,,
France,29.92,30.71,27.68,22.37,33.83,29.2,25.14,22.11,20.07,19.36,10.26
El Salvador,12.67,13.33,20.72,,36.18,24.21,,35.88,,,
"Moldova, Republic of",,,,,29.96,19.19,27.85,48.21,34.79,,
Belize,,,,,8.38,14.55,,11.89,13.76,,
Dominica,,24.98,50.35,,16.03,16.45,,,,,
Croatia,,,,,,41.52,44.59,37.68,17.96,13.4,11.53
deu_east,,,11.53,13.92,12.91,12.72,16.18,,,,
Suriname,,,50.92,42.93,35.78,33.17,26.0,,,,
Romania,,,,,,,39.29,38.66,43.07,26.66,15.39
Sri Lanka,3.24,2.82,,4.58,13.06,18.06,,,,,
"Korea, Republic of",,,,,,33.57,51.75,72.3,55.63,23.0,
Kuwait,,,,62.21,67.24,55.48,37.33,30.23,29.99,23.78,18.91
Brazil,,,,,25.89,26.31,,,,,
Latvia,,,,,32.34,24.87,30.92,38.84,32.33,,
Egypt,0.42,1.3,2.01,2.43,9.07,,14.24,,,,0.17
Cayman Islands,,,,,47.5,,,,,,
Syrian Arab Republic,,,,,,,,,,,
