Country,1960-1970,1971-1981,1982-1992,1993-2003,2004-2013,2014-2023
Sierra Leone,1.28,1.29,1.25,1.13,1.05,1.03
Iceland,2.57,2.67,2.87,3.18,2.98,3.73
"Korea, Democratic People's Republic of",1.19,1.24,1.53,2.39,3.51,3.57
Turkmenistan,1.38,1.55,1.38,1.44,1.44,1.32
Zambia,0.81,0.89,0.86,0.74,0.59,0.57
North Macedonia,1.57,1.91,2.18,2.89,3.54,4.17
Malaysia,0.73,0.86,1.08,1.22,1.42,1.95
Guyana,1.03,1.06,1.06,1.2,1.28,1.67
Botswana,1.38,1.1,0.89,1.06,1.03,1.06
Palau,1.37,1.4,1.84,1.79,1.8,2.87
Estonia,3.9,4.41,3.83,5.05,5.61,5.4
Peru,1.18,1.14,1.09,1.29,1.76,2.21
Egypt,1.33,1.43,1.45,1.51,1.39,1.49
New Caledonia,1.01,1.07,1.3,1.5,2.04,2.64
United Arab Emirates,0.7,0.75,0.44,0.35,0.17,0.46
Afghanistan,0.8,0.78,0.71,0.72,0.75,0.81
Namibia,1.32,1.29,1.23,1.01,1.03,1.26
Belize,1.24,1.25,1.16,1.08,1.04,1.18
Bangladesh,0.89,0.91,0.97,1.01,1.18,1.48
Denmark,3.5,4.18,4.46,4.12,4.07,5.46
Sint Maarten (Dutch part),1.65,1.09,1.0,0.87,1.06,2.96
Kiribati,1.35,1.33,1.13,1.11,1.17,1.33
Indonesia,0.88,1.11,1.25,1.51,1.93,2.05
