Country,1965-1975,1976-1986,1987-2001,2002-2012,2013-2023
Cabo Verde,,0.01,0.42,0.76,0.53
Haiti,0.89,0.87,,,
France,7.14,4.41,3.05,2.78,2.39
Zimbabwe,,2.77,2.65,3.65,0.87
"Palestine, State of",,,2.33,1.88,1.62
Cameroon,1.6,1.32,3.84,3.02,1.96
Nigeria,2.38,2.37,2.73,2.0,1.51
Iraq,1.29,1.11,0.12,0.12,3.45
Cyprus,1.24,1.45,1.24,1.08,0.67
Suriname,2.19,,0.91,0.51,0.59
Djibouti,,0.71,0.6,0.75,
Turkmenistan,,,1.42,,
French Polynesia,0.56,0.69,0.79,0.74,0.69
Papua New Guinea,0.58,0.57,0.89,0.51,1.15
China,,3.97,4.63,10.74,12.32
