Country,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
Barbados,,,,,6.42,6.48,6.08,6.71,7.24,5.84
Malawi,,,,7.27,9.43,2.83,5.06,5.43,3.71,5.52
Rwanda,9.43,6.46,5.52,5.56,7.15,5.81,,,,
Nepal,,,,,1.69,1.56,1.66,1.68,1.16,2.44
Kyrgyzstan,,12.09,5.82,5.46,7.94,7.3,7.73,10.09,10.82,12.45
Ecuador,3.74,3.23,3.61,3.99,3.64,2.95,3.15,3.6,3.73,3.73
Canada,1.02,1.02,0.61,0.52,0.52,0.51,0.5,0.53,0.38,0.34
Sri Lanka,,3.82,4.6,3.74,2.57,3.42,4.7,4.93,,
Lebanon,,3.76,3.88,4.1,5.27,10.25,15.19,,,
Guatemala,2.71,1.86,1.27,1.32,2.19,2.18,2.2,1.83,1.73,1.25
South Africa,4.93,5.24,3.84,3.18,2.85,3.73,3.89,5.18,4.45,
Tonga,,,12.49,9.1,3.99,3.58,3.22,3.65,3.5,
Denmark,,3.16,3.53,3.28,2.2,1.76,1.37,1.41,1.24,1.07
Trinidad and Tobago,3.66,6.14,4.75,3.73,3.0,3.04,2.9,3.2,3.23,
Ukraine,8.79,15.0,18.36,29.35,46.89,54.41,50.53,43.47,31.72,38.12
Netherlands,2.44,2.77,3.16,2.85,2.42,1.96,1.84,1.88,1.73,1.61
Luxembourg,0.67,0.31,0.18,,0.85,0.9,0.74,1.03,1.25,1.59
Austria,2.08,2.77,2.84,3.43,2.53,1.88,1.63,1.58,,
"Micronesia, Federated States of",,,0.21,0.42,0.71,0.31,0.33,0.13,0.27,
Czechia,3.66,5.38,5.31,5.54,4.1,3.1,1.69,1.91,1.7,1.46
Iraq,,,,9.02,13.76,17.55,16.18,,,
Panama,3.16,2.39,1.91,2.2,2.78,3.26,1.96,2.01,2.25,2.53
Ethiopia,,,,,3.41,3.56,2.67,3.43,5.41,
El Salvador,3.17,3.64,2.56,2.28,1.93,1.85,1.72,1.57,1.83,1.8
Bangladesh,,1.9,5.78,8.88,8.88,9.89,8.9,7.74,7.97,
