Country,2006-2009,2010-2013,2014-2016,2017-2019,2020-2022
"Micronesia, Federated States of",,,17.87,,
Belgium,9.31,8.6,8.67,7.13,6.71
France,9.02,10.28,11.02,10.31,8.97
Haiti,,23.23,,,
Mauritania,,27.58,,17.82,
Norway,2.15,2.5,3.0,3.17,3.3
"Venezuela, Bolivarian Republic of",,6.05,6.04,6.82,
Eswatini,,,21.21,,44.75
Ireland,6.72,15.58,11.95,7.17,7.17
Guyana,,,,19.94,
Lithuania,8.2,16.57,11.04,8.09,9.59
Lebanon,9.54,,,18.07,
Cabo Verde,10.52,,41.84,16.63,
Denmark,4.08,6.88,6.19,4.74,4.91
Mauritius,15.69,13.66,12.72,12.46,8.92
Uzbekistan,,,,,9.27
Portugal,9.74,16.44,15.25,9.14,8.44
Greece,15.09,29.07,34.23,27.8,22.13
Congo,22.54,,,,
Burkina Faso,,,10.26,12.8,10.97
Romania,6.41,7.59,6.28,4.14,5.14
Cyprus,5.02,11.38,17.12,10.3,9.24
Armenia,28.15,18.37,18.88,12.92,7.22
Liberia,,5.74,8.28,11.4,
China,,,,,
Sudan,24.61,54.08,,,28.65
