Country,1950-1971,1972-1993,1994-2015,2016-2037,2038-2058,2059-2079,2080-2100
Wallis and Futuna,47.25,61.2,74.74,79.42,83.05,85.79,88.01
Tonga,56.13,62.66,66.51,69.06,71.62,74.64,78.14
Mayotte,52.85,66.56,73.23,75.26,80.15,83.48,86.12
Colombia,54.33,63.72,69.35,74.84,79.69,83.22,85.93
Paraguay,58.32,63.97,68.1,71.45,74.6,77.95,81.38
Tajikistan,51.46,56.63,62.56,69.44,72.22,75.25,78.75
Switzerland,68.51,72.82,78.32,82.99,85.86,88.35,90.79
Puerto Rico,65.3,69.16,72.8,76.77,80.61,83.34,85.83
Saint Lucia,55.3,66.15,69.28,71.1,75.08,79.05,82.44
Guyana,54.72,59.02,62.25,66.42,69.74,73.04,76.77
Dominica,55.92,68.09,68.83,71.14,75.21,79.18,82.62
"Palestine, State of",47.52,60.27,69.63,73.96,78.07,81.82,84.86
nld_curacao,63.24,68.7,70.83,73.52,77.69,81.3,84.03
Senegal,39.25,49.21,59.28,67.86,73.14,77.63,81.79
Australia,67.45,71.64,78.16,82.54,85.2,87.67,90.11
Argentina,60.76,65.68,71.51,75.06,79.51,82.81,85.42
Martinique,58.57,68.31,76.16,80.76,83.71,86.17,88.53
Costa Rica,58.57,71.45,75.77,78.48,82.94,85.86,88.42
stbar,59.08,68.96,74.55,78.59,82.57,85.34,87.87
