Country,1990-1996,1997-2003,2004-2010,2011-2016,2017-2022
Bangladesh,,14.77,14.23,13.83,15.34
Malta,13.13,10.61,12.52,14.63,18.7
Kuwait,25.54,26.2,19.98,,
Saint Kitts and Nevis,21.69,24.71,22.53,23.56,25.57
Marshall Islands,,,27.4,27.93,27.65
Ghana,,14.15,15.02,7.82,7.76
Saint Lucia,,18.6,20.51,19.08,19.51
Japan,5.61,5.19,5.29,5.08,5.48
Uzbekistan,,,,8.83,7.46
Botswana,30.95,,31.5,29.66,23.69
Macao,20.29,21.35,19.41,17.24,16.41
Estonia,16.77,14.58,10.58,10.28,9.84
Afghanistan,,,68.54,66.23,54.78
Türkiye,8.98,8.94,9.61,11.15,9.42
Ecuador,,,,28.61,23.52
South Africa,13.38,10.69,11.72,11.47,9.52
Canada,7.21,7.54,7.58,7.28,6.83
Equatorial Guinea,,,42.0,46.4,34.54
Malawi,,,31.26,27.2,24.62
Singapore,30.47,33.38,37.84,32.0,31.44
Maldives,65.59,67.89,64.68,18.93,18.03
Belgium,2.14,2.29,2.4,2.43,2.57
Tonga,,,,40.73,43.98
United States,15.86,10.85,9.62,8.14,6.64
