Country,1996-2000,2002-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Guatemala,-0.24,-0.39,-0.26,-0.19,-0.28,-0.33,-0.35,-0.32,-0.32,-0.36,-0.49
Ghana,-0.11,0.14,0.3,0.46,0.51,0.46,0.45,0.54,0.58,0.55,0.43
Cuba,-1.55,-1.74,-1.85,-1.83,-1.66,-1.56,-1.51,-1.56,-1.5,-1.43,-1.38
Maldives,-0.7,-1.01,-0.99,-0.61,-0.06,-0.31,-0.42,-0.63,-0.71,-0.39,-0.24
Sao Tome and Principe,0.44,0.3,0.17,0.19,0.14,0.21,0.23,0.32,0.22,0.37,0.31
Japan,0.99,1.05,0.98,0.96,1.03,1.09,1.07,0.99,1.0,0.96,1.04
Palau,1.11,1.17,1.19,1.2,1.2,1.21,1.19,1.21,1.17,1.07,1.06
Samoa,0.74,0.73,0.64,0.59,0.49,0.38,0.53,0.76,0.78,0.78,0.86
Germany,1.31,1.44,1.43,1.34,1.32,1.37,1.42,1.39,1.44,1.36,1.41
Monaco,1.11,0.99,0.93,0.95,0.99,0.8,0.91,0.93,0.74,0.67,0.71
Madagascar,0.05,-0.03,-0.12,-0.23,-0.84,-0.88,-0.63,-0.35,-0.33,-0.25,-0.28
Kenya,-0.78,-0.38,-0.19,-0.27,-0.28,-0.28,-0.18,-0.13,-0.29,-0.33,-0.29
Norway,1.53,1.57,1.59,1.55,1.57,1.68,1.71,1.68,1.7,1.69,1.76
Guinea-Bissau,-0.85,-0.86,-0.56,-0.71,-0.79,-1.09,-1.1,-0.74,-0.74,-0.47,-0.32
Benin,0.37,0.1,0.17,0.36,0.33,0.15,0.21,0.35,0.31,-0.01,-0.3
Viet Nam,-1.22,-1.42,-1.47,-1.51,-1.49,-1.44,-1.37,-1.37,-1.44,-1.39,-1.3
"Korea, Republic of",0.65,0.73,0.72,0.68,0.72,0.73,0.69,0.64,0.78,0.79,0.9
North Macedonia,-0.3,-0.12,0.04,0.24,0.14,-0.03,-0.1,-0.21,-0.08,0.02,0.15
Liechtenstein,1.54,1.4,1.39,1.31,1.57,1.53,1.44,1.32,1.29,1.24,1.35
Tunisia,-0.75,-0.92,-1.12,-1.36,-1.39,-0.27,0.05,0.27,0.18,0.28,0.0
Haiti,-0.68,-1.24,-0.97,-0.6,-0.68,-0.76,-0.77,-0.78,-0.74,-0.79,-1.07
Angola,-1.48,-1.27,-1.24,-1.15,-1.12,-1.1,-1.13,-1.16,-1.0,-0.8,-0.83
Belgium,1.38,1.43,1.38,1.34,1.35,1.34,1.37,1.38,1.33,1.29,1.28
Somalia,-1.81,-1.69,-1.76,-1.87,-2.03,-2.11,-2.14,-1.96,-1.81,-1.84,-1.74
Chile,0.74,1.12,1.19,1.06,1.06,1.08,1.08,1.0,1.01,0.99,0.97
Lao People's Democratic Republic,-1.26,-1.69,-1.69,-1.71,-1.69,-1.66,-1.69,-1.76,-1.75,-1.8,-1.67
Burkina Faso,-0.39,-0.38,-0.39,-0.3,-0.27,-0.29,-0.3,-0.05,0.0,-0.2,-0.38
"Venezuela, Bolivarian Republic of",-0.02,-0.5,-0.63,-0.75,-0.86,-0.92,-1.02,-1.11,-1.33,-1.47,-1.58
Togo,-1.08,-1.27,-1.21,-1.03,-0.97,-0.95,-0.84,-0.62,-0.69,-0.74,-0.78
