Country,2004-2007,2008-2011,2012-2015,2016-2018,2019-2021
Saint Vincent and the Grenadines,,21.2,20.67,16.54,16.16
Fiji,10.19,11.24,11.82,12.14,10.85
Saint Lucia,24.24,21.97,20.39,15.68,15.06
Australia,31.06,30.99,29.75,28.53,25.3
Switzerland,56.26,52.16,46.68,40.94,37.26
Jordan,17.48,16.61,15.58,14.6,14.12
Libya,9.76,10.96,11.64,11.49,
Togo,1.73,4.14,4.82,5.48,5.48
"Korea, Republic of",17.56,18.32,17.57,15.65,14.36
Mali,2.64,3.5,5.4,5.42,4.62
Armenia,13.16,18.41,22.28,23.29,24.35
Saint Kitts and Nevis,46.74,47.16,39.59,32.04,29.46
"Moldova, Republic of",40.85,50.06,49.51,34.86,30.91
Georgia,13.22,21.84,31.36,32.49,32.16
Guinea,0.82,1.4,2.24,2.76,2.71
Colombia,,14.14,15.64,15.39,13.59
France,33.6,42.38,38.32,35.99,33.67
United Kingdom,27.54,25.05,23.61,,
North Macedonia,18.32,25.07,24.88,25.02,23.28
India,8.9,9.82,12.32,14.39,14.64
Namibia,11.81,12.85,13.23,12.44,10.43
Türkiye,14.1,17.65,19.24,17.4,15.52
Latvia,33.56,34.72,21.15,16.09,7.81
Qatar,19.51,16.15,11.91,9.21,9.34
Mauritius,18.5,20.89,22.08,18.7,15.64
