Country,1964-1971,1974-1979,1980-1985,1986-1991,1992-1997,1998-2002,2003-2009,2010-2014
France,7.91,10.93,13.61,12.52,12.34,9.98,8.85,7.32
Turkmenistan,,,9.24,10.59,9.98,13.71,,
Cyprus,,,,,,,4.12,4.9
Suriname,10.05,16.05,33.27,11.92,,,,
Mauritius,3.85,11.93,7.4,17.82,16.19,18.07,10.61,12.29
United States,9.32,13.52,13.44,13.72,13.47,11.16,10.65,
South Africa,,,,,,,1.32,1.52
Ireland,1.65,6.19,7.44,10.13,15.42,18.5,15.47,13.66
Sri Lanka,32.48,41.12,68.14,64.07,,,,
Ecuador,4.14,6.88,8.95,8.75,,,,
"Korea, Republic of",,,12.02,9.16,10.45,10.88,15.52,16.27
Guatemala,6.16,1.96,0.99,,,,,
Norway,4.86,10.99,14.0,16.16,14.04,15.55,13.05,10.9
Chile,8.96,7.46,7.24,6.79,6.54,,,
Uzbekistan,,,8.64,8.88,8.98,10.6,7.38,
Singapore,10.65,11.23,9.54,11.38,7.97,8.35,6.89,5.9
