Country,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
Malawi,1.5,,,2.29,6.81,,4.74,,,1.23,,
"Virgin Islands, British",,,,,,,,,,,,
Macao,9.32,6.85,6.87,5.68,4.87,4.46,5.21,5.34,4.88,8.14,,
Netherlands,9.92,9.69,9.39,10.54,12.44,11.99,9.84,7.16,6.74,9.11,9.32,7.63
Botswana,,32.6,33.42,35.99,,,,,35.51,41.95,44.95,44.22
Bhutan,,,12.95,9.28,8.42,10.06,,15.73,11.85,22.58,20.93,28.62
Uruguay,31.11,26.58,21.76,19.42,18.89,20.98,24.28,25.92,27.49,33.1,31.31,25.22
Denmark,8.2,7.6,11.5,15.97,15.31,13.2,12.29,10.54,10.06,11.61,10.83,10.57
Madagascar,2.26,,,,0.98,3.44,,,,,,5.59
Trinidad and Tobago,16.48,12.15,11.1,9.3,7.5,5.87,8.71,,9.16,11.67,12.91,10.51
Qatar,10.76,1.62,1.12,1.32,1.42,0.7,0.51,0.29,0.3,0.46,0.69,0.54
Latvia,18.48,12.08,23.48,33.58,25.87,17.97,17.14,12.2,12.42,14.87,14.79,15.28
Belgium,19.49,19.68,19.96,20.57,21.73,22.68,19.69,15.75,14.24,15.33,18.21,16.4
Israel,19.24,17.3,13.58,13.02,11.26,9.87,7.88,7.07,6.56,7.69,7.68,6.76
nld_curacao,,,,24.72,37.18,31.44,,29.26,,42.22,,
Seychelles,,,,11.0,,13.34,11.23,11.58,9.7,16.51,,
"Iran, Islamic Republic of",23.54,23.04,23.96,27.69,25.5,25.74,28.89,27.72,26.07,23.73,23.71,22.63
United States,11.58,10.53,15.22,17.87,15.88,12.51,9.83,8.61,8.39,14.92,9.73,8.13
Portugal,15.14,16.62,18.49,26.51,38.01,33.36,25.91,20.3,18.27,22.47,23.43,19.04
Morocco,15.54,16.07,17.45,17.77,18.87,20.37,22.24,,,,31.76,32.65
"Korea, Republic of",9.82,8.57,9.1,8.54,7.94,9.38,10.1,10.25,9.95,10.26,8.12,6.7
Guyana,,,,,,,,26.46,27.4,,,
