Country,1990-1995,1996-2001,2002-2006,2007-2011,2012-2016,2017-2021
"Palestine, State of",,0.26,0.89,0.8,0.6,0.7
Pakistan,1.98,2.49,2.49,2.32,2.1,2.42
Brazil,0.71,0.77,1.06,0.58,0.76,1.05
Hungary,2.03,2.17,1.41,1.04,1.13,1.19
Belarus,6.43,7.28,5.4,3.04,3.21,3.94
Montenegro,,2.69,2.17,1.52,1.74,1.8
Jordan,3.18,3.36,3.46,2.39,2.31,2.32
"Iran, Islamic Republic of",4.23,4.78,5.01,3.31,4.15,8.29
Tuvalu,,0.75,0.62,0.54,0.6,0.56
Tonga,0.79,0.8,1.19,1.0,0.92,1.33
Tajikistan,5.09,4.21,2.73,1.21,1.54,4.27
Turkmenistan,17.04,22.77,16.14,8.83,6.84,7.23
Japan,0.37,0.44,0.57,0.59,0.77,0.84
Azerbaijan,34.82,10.63,6.99,1.76,1.95,3.12
Thailand,1.35,2.29,2.75,2.13,2.25,2.15
"Micronesia, Federated States of",0.74,1.0,1.33,1.18,1.37,1.7
Bermuda,,,,0.37,0.47,0.46
Singapore,0.82,0.75,0.78,0.54,0.51,0.59
Finland,0.69,0.8,0.78,0.61,0.61,0.6
Cyprus,1.1,1.23,1.13,0.87,1.05,1.2
Morocco,1.06,1.41,1.62,1.54,1.85,2.16
Bulgaria,6.64,6.61,4.24,2.69,2.69,2.41
