Country,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018
Mexico,7.02,5.65,4.42,2.73,1.04
Monaco,0.0,,0.0,1.93,0.7
Guatemala,15.13,13.42,12.76,11.71,9.65
Macao,8.3,7.81,7.48,5.22,2.72
Georgia,0.41,0.32,0.19,0.24,0.34
Equatorial Guinea,9.7,25.54,22.54,19.73,19.57
"Palestine, State of",2.02,0.7,0.26,0.45,0.16
Lebanon,9.65,11.6,10.17,9.76,8.37
Greece,0.0,0.33,0.78,0.84,0.67
Samoa,1.07,,1.24,1.34,1.36
Colombia,6.58,4.57,3.16,2.34,2.41
Romania,3.9,2.85,1.9,1.82,1.28
Liberia,,6.42,5.85,5.9,6.31
Iceland,0.0,0.0,0.0,0.0,
Rwanda,33.04,16.66,15.6,14.24,17.73
Tuvalu,,,,,0.24
Eswatini,18.7,18.93,18.92,18.08,16.46
