Country,1981-1989,1990-1999,2000-2005,2006-2011,2012-2017
Cyprus,25.1,21.17,19.45,17.19,15.07
Tajikistan,8.33,12.16,12.5,12.89,13.13
Nicaragua,32.79,30.71,24.23,21.99,
Sweden,,17.2,9.69,9.78,5.64
Syrian Arab Republic,31.2,24.35,23.57,20.27,15.91
Saudi Arabia,,,9.57,10.47,11.06
Cabo Verde,30.93,,24.11,21.2,18.5
Bahamas,,12.99,10.27,62.0,21.03
"Tanzania, United Republic of",,,55.41,49.43,102.14
Myanmar,,21.59,,17.64,16.87
Lebanon,21.68,13.39,17.52,15.72,15.32
Finland,,11.47,12.26,11.18,11.34
"Venezuela, Bolivarian Republic of",25.43,23.67,,,
Montenegro,,,16.92,14.19,
Chile,23.16,27.2,22.82,19.15,26.77
Uruguay,29.16,27.97,27.76,25.37,
Suriname,25.75,26.26,23.65,22.61,26.38
Sierra Leone,,,21.2,17.24,19.16
Samoa,,13.05,41.63,13.24,11.78
Senegal,23.52,23.51,25.4,24.37,18.84
Tuvalu,,,17.68,,11.33
"Virgin Islands, British",13.79,11.33,13.44,12.88,9.18
Eritrea,,32.46,37.19,35.06,31.87
Iraq,18.89,17.16,15.03,15.06,
United Arab Emirates,22.4,20.21,18.6,18.71,20.79
"Virgin Islands, U.S.",,21.11,,,
Cuba,22.7,23.25,,,
Paraguay,,19.34,25.86,,24.09
Cambodia,22.59,21.09,26.44,25.41,30.88
