Country,1991-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019
"Korea, Republic of",46.4,46.74,47.68,48.92,48.2,49.4,51.24
Mozambique,85.54,85.6,85.8,84.18,80.85,76.59,74.84
Mongolia,49.59,50.59,50.88,49.97,50.73,51.57,50.6
Myanmar,61.36,60.24,58.32,55.81,53.62,51.97,47.6
Sao Tome and Principe,30.49,30.96,29.59,29.91,31.68,32.77,32.98
"Bolivia, Plurinational State of",55.43,56.79,58.3,60.12,60.09,56.18,58.46
Romania,57.23,55.28,49.95,44.26,43.44,43.11,43.64
Malaysia,43.2,43.43,42.9,42.37,42.29,47.46,49.15
Uzbekistan,50.12,46.66,47.44,48.92,48.28,47.68,46.52
Turkmenistan,47.37,46.65,46.23,46.37,45.17,44.26,43.74
Indonesia,47.69,47.07,44.97,42.28,47.38,48.72,50.39
Panama,38.63,41.48,43.6,44.92,45.16,47.74,50.0
Maldives,24.52,32.03,35.66,34.13,34.51,41.96,40.17
United Kingdom,48.01,49.72,51.38,52.28,51.91,52.76,55.12
Bhutan,59.72,59.86,61.34,62.76,61.08,56.01,57.24
Namibia,38.74,35.88,37.48,38.06,40.22,44.72,43.87
Burundi,88.03,84.9,82.32,80.43,79.28,78.94,79.56
Hungary,40.26,36.69,39.12,39.65,39.03,41.75,46.2
Senegal,30.44,30.64,30.82,29.68,29.54,31.26,32.45
Eswatini,33.07,32.25,31.61,31.04,32.04,34.2,36.46
