Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2019
Germany,11.57,10.99,10.93,9.52,7.95,7.44
Malawi,3.31,3.19,2.85,2.49,2.35,2.25
France,6.53,5.76,5.17,4.63,4.4,4.17
Tajikistan,19.93,16.75,17.58,18.02,18.68,18.84
Tuvalu,12.95,12.52,11.93,11.28,10.81,10.3
India,9.56,9.08,8.33,7.47,7.0,7.11
Djibouti,6.94,6.82,6.56,6.21,5.94,5.71
Cyprus,7.56,6.66,6.1,7.28,7.54,7.32
Guinea,12.76,12.13,11.84,11.8,11.63,11.29
Armenia,14.45,12.13,10.94,10.65,9.66,8.96
Philippines,5.22,4.67,3.81,3.57,3.41,3.28
Lao People's Democratic Republic,12.69,11.38,9.5,8.03,7.0,6.47
Qatar,10.68,10.22,10.81,12.95,12.79,11.43
Guinea-Bissau,14.89,13.23,13.02,14.0,14.11,13.8
Senegal,10.45,8.64,9.03,9.67,9.63,9.89
Sweden,7.49,6.42,5.58,4.63,4.08,3.77
