Country,1960-1972,1973-1985,1986-1998,1999-2011,2012-2023
Guinea-Bissau,4.44,4.29,4.53,3.2,3.06
Sudan,2.87,2.6,2.77,2.52,3.2
Japan,7.32,10.29,15.71,23.31,31.0
Rwanda,3.22,2.79,2.35,3.2,3.63
"Virgin Islands, U.S.",5.2,4.73,6.92,11.39,19.82
"Moldova, Republic of",7.37,9.45,11.34,12.6,14.65
El Salvador,3.47,3.2,3.9,6.55,8.67
Nicaragua,2.68,2.84,3.31,4.01,5.31
Antigua and Barbuda,5.76,8.45,9.44,7.88,10.11
Türkiye,5.09,5.2,5.6,6.85,8.92
Luxembourg,13.16,15.6,16.43,16.19,15.97
Andorra,6.5,6.75,10.4,12.55,14.15
Argentina,6.61,8.7,10.54,11.9,13.36
Uganda,2.19,2.82,2.94,2.21,1.9
New Caledonia,3.7,4.03,4.97,7.01,10.16
Monaco,23.25,25.16,24.42,26.23,35.84
Timor-Leste,3.02,2.48,2.51,3.9,5.77
Faroe Islands,9.33,10.94,14.4,15.63,18.39
Bulgaria,9.62,12.78,16.17,20.02,24.68
Mali,2.79,3.58,3.68,3.11,2.77
Poland,8.6,11.59,12.81,15.64,19.69
New Zealand,9.76,10.92,12.67,13.25,15.93
Kyrgyzstan,6.25,6.17,6.14,5.82,4.86
Israel,6.49,9.03,10.75,11.32,12.55
Guyana,3.83,3.85,4.12,4.48,6.21
