Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2018,2019-2022
Côte d'Ivoire,4606.0,6158.8,6658.2,6003.0,5494.8,5036.5,4885.75
Palau,3.0,3.0,3.0,3.2,4.2,5.0,6.0
India,224958.8,222671.2,222266.6,214650.2,186187.8,153546.0,128908.25
Gambia,423.8,438.6,454.0,461.2,469.8,480.0,496.0
Cuba,1355.4,938.8,520.4,460.6,447.6,388.0,415.0
Georgia,632.2,318.0,231.0,281.4,236.6,209.75,172.5
Dominica,6.0,4.4,4.0,5.0,6.0,7.0,8.0
Central African Republic,1477.8,1667.4,2035.2,2322.8,2392.6,2391.5,2626.5
Turkmenistan,586.6,726.4,803.2,816.6,752.6,659.0,574.0
Tajikistan,950.8,1042.4,596.4,485.6,469.6,395.25,431.75
Greece,630.6,600.4,588.8,481.4,324.4,232.75,198.25
Dominican Republic,1097.0,1354.6,1571.4,1712.6,1722.2,1664.25,1567.5
Djibouti,270.0,294.6,332.0,320.2,324.6,321.5,316.25
Ireland,208.8,253.0,244.8,220.2,150.6,102.75,87.0
Philippines,9757.8,8797.0,9768.2,10407.0,11068.8,11255.5,11595.5
Zambia,5011.2,5775.2,5822.8,5512.6,4968.2,4445.75,4370.75
Liberia,1391.4,961.6,1244.2,1180.8,1257.0,1364.0,1467.75
Peru,3989.0,3623.0,3222.8,2853.8,2479.0,2323.25,2343.25
Burundi,5134.4,4354.6,3393.2,2530.6,2053.6,1727.25,1748.5
