Country,1977-1986,1987-1995,1996-2004,2005-2013,2014-2022
Uganda,28.09,55.6,13.84,3.31,10.79
Belarus,,2.79,3.6,6.08,12.99
Djibouti,,4.55,5.01,7.16,1.54
Madagascar,27.47,32.21,13.95,2.71,3.83
El Salvador,17.06,22.5,18.84,23.24,44.99
Montenegro,,,,23.88,53.17
Lao People's Democratic Republic,10.48,9.52,12.42,14.0,12.64
Nicaragua,22.84,40.54,26.43,20.81,36.32
Côte d'Ivoire,34.95,33.43,18.32,5.91,13.06
Dominica,6.93,7.83,9.54,12.03,13.82
Botswana,2.8,3.77,2.31,1.15,2.4
kos,,,0.31,6.74,10.71
Costa Rica,35.68,20.15,10.97,11.43,14.33
"Bolivia, Plurinational State of",44.73,36.94,29.48,9.59,11.37
Ukraine,,4.46,12.98,28.31,24.98
Bosnia and Herzegovina,,,9.82,12.29,16.79
Peru,40.55,21.41,29.98,16.81,13.26
Lesotho,2.67,4.89,7.04,3.26,7.45
Egypt,24.9,23.8,11.92,6.68,19.48
Suriname,,,,,20.55
"Iran, Islamic Republic of",5.42,8.93,13.65,2.42,0.69
Guatemala,14.95,20.71,11.27,17.15,18.8
Ecuador,38.22,30.91,39.33,21.45,27.02
Benin,9.96,7.5,8.94,3.29,7.31
Panama,,,,5.93,17.19
Papua New Guinea,22.93,28.95,13.16,13.14,25.22
