Country,1998-2002,2003-2006,2007-2010,2011-2013,2014-2016,2017-2019,2020-2022
Nicaragua,91.09,97.45,49.01,33.25,21.97,19.8,32.05
Iraq,,,,,3.6,4.45,
Togo,,22.38,68.27,52.67,25.24,41.72,38.8
Ukraine,,1.26,1.08,1.13,3.85,2.71,12.66
Serbia,,,4.58,6.22,2.58,6.28,2.12
Rwanda,,,,,73.03,63.93,74.18
Sri Lanka,7.13,13.92,6.2,4.71,3.32,0.61,0.82
Uruguay,0.38,0.51,0.49,0.15,0.24,0.2,
Gambia,,,,,,,
Mozambique,,,86.78,61.08,68.62,66.09,63.7
Malawi,,,64.01,91.89,96.92,95.6,61.32
Senegal,,,,,23.85,24.19,26.58
Colombia,1.31,3.12,1.47,0.92,1.38,1.21,1.75
Armenia,,27.11,13.66,13.16,11.59,9.7,5.24
"Korea, Republic of",-0.08,,,,,,
Panama,,,,,-0.83,0.52,1.05
Afghanistan,,201.85,116.21,67.86,55.19,51.82,
Seychelles,6.75,5.06,8.66,9.11,1.99,3.23,
Morocco,5.67,5.22,5.03,5.54,7.16,4.78,4.01
