Country,1971-1979,1980-1983,1984-1987,1992-1995,1996-2001,2002-2005,2006-2009,2010-2013,2014-2017,2018-2021
Serbia,,,,,34.28,35.16,42.72,45.97,53.42,57.61
South Sudan,,,,,,,,,0.76,1.51
Saint Kitts and Nevis,0.64,0.48,3.53,7.51,,,12.85,,77.08,
El Salvador,8.22,13.65,16.14,20.27,18.77,19.89,23.27,25.42,24.86,26.21
Lithuania,,19.99,21.67,22.03,35.59,56.35,67.46,65.22,59.11,59.86
Hungary,11.53,14.1,14.39,16.98,30.59,48.01,53.48,51.49,44.71,47.89
Tonga,2.13,7.88,5.84,,2.99,4.59,,,,12.25
Bangladesh,4.51,6.21,8.34,,7.77,8.24,11.14,15.91,19.1,25.13
New Zealand,29.67,31.53,35.81,49.94,51.24,,,66.19,67.59,61.84
Papua New Guinea,,2.35,2.44,4.25,3.27,,,,,
Germany,,,,46.65,52.41,,,63.01,67.54,70.44
Palau,,,,,25.37,24.11,,52.39,,
Vanuatu,,,,,,6.27,,,,
Guinea,3.39,5.39,2.88,1.96,2.08,4.53,12.54,15.3,12.81,9.47
Peru,13.95,23.02,,,30.27,30.69,33.09,,70.31,
Romania,11.13,15.55,13.18,13.64,21.65,35.61,57.52,53.69,45.77,47.87
Bosnia and Herzegovina,,,,,,21.46,28.21,36.1,41.06,34.09
Cabo Verde,,,,,1.43,4.75,9.53,16.27,17.17,16.36
Myanmar,2.64,,,4.31,,,9.02,11.92,,16.56
"Tanzania, United Republic of",0.37,0.46,0.5,0.66,0.96,1.52,2.07,4.52,5.56,5.42
Ukraine,,,,34.65,47.18,55.91,69.18,75.82,74.03,76.42
Grenada,1.31,4.91,4.0,,,,45.9,,84.04,85.59
Egypt,15.22,23.1,24.21,,31.22,30.41,31.07,29.01,31.82,38.02
