Country,2011-2013,2014-2016,2017-2018,2019-2020,2021-2022
Peru,,,807753.83,1065418.6,800880.4
Kazakhstan,,576751.61,718337.39,558874.13,407509.1
Thailand,2595811.84,2829003.97,2425983.43,2800737.98,2633604.29
Gambia,810792.33,862841.8,789700.18,470706.22,963806.63
Chile,,,455225.94,,
Timor-Leste,1113652.27,1632209.18,1187995.37,1619715.03,2310806.33
Costa Rica,,,317784.92,548113.36,466943.31
Burundi,1158835.65,1332273.56,1334219.28,1207563.34,2337388.99
Togo,952062.83,1069640.16,1096089.27,725717.07,2728443.26
North Macedonia,178451.92,526902.78,659347.3,618132.77,742454.65
"Bolivia, Plurinational State of",,,851261.05,833357.69,818130.82
Lebanon,513291.76,608314.38,733037.56,1036349.31,954130.8
Turkmenistan,215549.62,456741.43,533322.83,356192.75,331543.51
Sierra Leone,1145956.2,1587063.59,1160762.19,1356521.67,3067583.8
Bhutan,1432319.16,1589542.71,1368929.62,2291922.45,2576001.29
Ethiopia,2722344.04,3012341.66,3807907.58,3631047.01,4666740.89
Kyrgyzstan,437387.17,610515.96,1358653.49,1066011.34,1264755.9
Liberia,1218346.91,1815276.27,1976144.49,1163236.86,2947032.93
