Country,1967-1974,1975-1982,1983-1990,1991-1998,1999-2006,2007-2014,2015-2022
Costa Rica,29.29,30.26,32.31,34.44,36.04,39.56,46.21
Sweden,54.51,53.66,54.14,48.04,47.05,49.46,44.84
Italy,46.42,47.33,45.74,45.12,49.21,44.36,41.26
United States,48.35,48.99,48.61,46.85,42.39,39.88,38.82
Congo,35.01,40.93,40.38,,20.17,24.57,
Ukraine,,,,,,38.62,41.72
Iraq,42.39,43.25,50.4,49.37,94.66,76.5,68.21
Greece,44.09,40.92,40.5,39.98,48.69,48.06,45.73
Estonia,,,,55.34,58.73,57.84,59.4
Panama,42.38,34.69,33.8,34.0,34.08,,34.31
Libya,20.54,27.9,,,,,
Lao People's Democratic Republic,,,,,27.35,45.38,47.74
Côte d'Ivoire,41.63,37.69,20.88,37.71,,,
New Zealand,46.45,46.34,48.36,51.64,54.26,43.9,39.97
Peru,43.51,44.35,48.43,50.75,39.54,46.69,52.54
Kuwait,80.36,75.19,79.86,80.47,76.45,70.98,60.27
Thailand,33.75,33.01,41.16,45.03,35.23,35.78,36.5
Gabon,51.57,61.28,,46.0,,,
Madagascar,21.28,18.63,16.34,30.29,68.77,36.71,30.81
"Bolivia, Plurinational State of",20.06,38.03,49.54,58.6,49.66,35.32,36.64
Barbados,30.2,26.65,21.97,24.32,,,
Viet Nam,,,,30.25,33.61,41.89,36.05
