Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
South Africa,3.66,3.89,4.06,3.88,3.94,2.55,2.24,2.15,2.19,2.43
Israel,1.27,1.35,1.43,1.5,1.54,1.59,1.6,1.5,1.38,1.28
Burundi,0.17,0.19,0.21,0.22,0.24,0.26,0.28,0.31,0.39,0.51
Yemen,1.49,1.71,1.94,2.01,2.08,2.16,2.24,2.39,2.59,2.67
Singapore,2.06,2.11,2.3,2.52,2.77,2.84,3.66,3.29,2.7,2.2
Sudan,0.14,0.16,0.24,0.33,0.36,0.41,0.78,0.75,0.68,0.56
Japan,1.55,1.41,1.28,1.19,1.11,1.05,0.92,0.85,0.75,0.7
Sierra Leone,2.36,2.53,2.74,2.87,2.97,3.1,3.13,3.05,3.16,3.2
Lao People's Democratic Republic,0.13,0.14,0.15,0.16,0.18,0.21,0.23,0.26,0.28,0.3
Chad,0.09,0.12,0.17,0.21,0.22,0.26,0.31,0.33,0.4,0.45
Zambia,0.16,0.17,0.21,0.38,0.42,0.22,0.23,0.4,0.65,1.99
Jordan,1.19,1.3,1.4,1.43,1.29,1.14,1.07,1.01,0.95,0.9
Albania,0.78,0.81,0.89,0.99,0.98,0.46,1.08,0.94,1.24,1.18
China,1.98,2.08,2.21,2.31,2.37,2.43,2.47,2.5,2.49,2.52
United States,1.11,1.1,1.03,1.05,1.04,1.0,0.94,0.91,0.89,0.93
Netherlands,1.51,1.92,1.9,1.87,2.12,1.99,2.03,2.15,2.2,2.0
Ghana,0.92,3.07,4.86,4.44,3.98,4.08,5.0,4.51,4.44,4.53
Ireland,2.55,2.59,2.74,2.51,2.33,2.43,2.42,2.28,2.22,2.06
"Virgin Islands, U.S.",0.94,0.99,1.06,1.12,1.18,1.25,1.36,1.5,1.56,1.58
Puerto Rico,1.21,1.24,1.33,1.42,1.52,1.53,1.66,1.75,1.76,1.85
Panama,2.14,2.29,2.65,2.83,1.87,1.95,1.69,1.82,2.02,1.57
Samoa,4.36,4.45,4.62,4.8,4.93,5.03,5.09,5.09,4.96,5.0
Kuwait,0.13,0.13,0.15,0.16,0.15,0.19,0.22,0.37,0.62,0.73
Tajikistan,4.74,4.35,4.3,4.59,4.98,2.62,2.37,2.51,2.61,2.8
Barbados,0.37,0.26,0.22,0.39,0.51,0.57,0.63,0.47,0.37,0.34
Egypt,4.22,5.25,5.65,4.83,3.33,3.69,2.72,2.15,3.15,1.59
Burkina Faso,0.31,0.33,0.34,0.36,0.36,0.35,0.32,0.45,1.15,1.39
Mozambique,0.87,0.97,1.05,1.1,1.24,1.35,1.42,1.4,1.36,1.48
Morocco,0.31,0.38,0.38,0.47,0.58,0.77,0.74,0.79,0.84,0.81
