Country,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Palau,,,,,,0.62
Jordan,,,,,18.25,22.35
Gambia,,,,,4.95,
"Micronesia, Federated States of",,,,3.37,,
India,7.01,5.6,6.37,,13.8,13.61
Guatemala,,,3.09,1.51,2.54,1.78
Serbia,4.7,9.81,16.54,13.51,9.25,6.73
Marshall Islands,,,,,7.25,1.23
Sierra Leone,,,,11.33,4.93,
Ireland,2.51,6.63,7.87,5.72,3.63,3.81
Burundi,7.32,,,11.07,,6.2
Colombia,9.47,10.71,9.84,9.23,9.79,10.72
Mauritania,,,6.88,,12.07,
Croatia,5.6,5.9,9.92,8.28,5.71,4.93
Honduras,3.99,3.88,4.31,8.24,4.67,5.31
Albania,9.51,12.49,12.71,16.65,11.97,
Rwanda,,,,10.88,15.17,16.16
"Congo, The Democratic Republic of the",8.14,,9.33,,,4.88
Djibouti,,,,,14.15,
Congo,15.05,25.9,,,,
Algeria,,,,,10.56,
Cayman Islands,,,2.9,1.24,,
Iraq,7.23,,5.08,,,13.69
Nigeria,,,,11.36,14.43,5.16
Israel,4.08,4.28,3.75,3.14,2.61,2.92
"Moldova, Republic of",4.99,4.81,4.67,4.01,2.51,2.02
