Country,1976-1985,1986-1994,1995-2003,2004-2012,2013-2021
Saudi Arabia,0.24,0.18,0.08,0.18,-0.01
Belarus,,0.05,-3.67,0.01,-0.21
Lebanon,-0.14,0.07,-0.01,0.49,-0.08
"Taiwan, Province of China",0.43,2.3,1.99,-0.51,-0.06
Chad,-1.9,1.69,1.07,0.07,-1.48
"Korea, Democratic People's Republic of",-0.04,0.05,0.02,0.01,0.0
Sri Lanka,-0.6,0.22,0.06,-1.01,0.7
"Tanzania, United Republic of",0.13,0.92,0.95,0.19,-0.81
Oman,0.27,0.16,1.33,0.34,0.16
Poland,0.08,5.19,0.31,0.15,-3.22
Estonia,,1.79,0.1,0.18,0.04
Lesotho,0.1,2.07,0.31,0.29,0.75
Germany,-0.07,0.42,0.37,-0.01,-1.66
Armenia,,-0.31,-0.67,0.17,1.76
Burkina Faso,-0.21,2.11,0.45,0.32,0.45
