Country,1950-1966,1967-1983,1984-2000,2001-2017,2018-2034,2035-2051,2052-2068,2069-2084,2085-2100
Gabon,12.27,15.17,16.11,14.41,12.13,10.24,8.63,7.51,6.64
Gambia,17.57,18.16,18.65,17.94,14.59,11.47,9.1,7.6,6.63
Iceland,12.79,9.9,8.39,7.08,5.79,4.94,4.56,4.28,4.19
Afghanistan,16.79,18.52,19.98,18.59,15.18,11.78,9.38,7.66,6.59
Albania,16.4,13.77,11.12,6.53,4.9,3.93,3.44,3.01,2.79
Algeria,18.63,18.14,14.19,10.43,9.32,7.31,6.21,5.57,4.97
Benin,15.63,17.99,18.3,17.12,15.51,13.16,11.17,9.59,8.35
Cameroon,16.01,17.92,18.16,17.01,14.96,12.5,10.47,8.98,7.85
kos,17.43,15.8,12.39,8.47,5.75,5.01,3.87,3.5,3.15
Hong Kong,16.42,9.3,6.21,3.84,3.17,2.47,2.61,2.76,3.17
Saint Lucia,18.42,17.15,12.99,7.42,5.47,4.42,4.04,3.9,3.96
Dominica,17.22,14.42,10.88,7.5,6.27,5.01,4.52,4.09,4.05
Monaco,5.51,4.43,4.68,4.37,4.7,5.3,5.41,5.22,4.91
Türkiye,17.01,15.5,11.95,9.03,6.96,5.65,4.88,4.52,4.23
Madagascar,18.59,19.03,18.13,16.28,13.64,11.31,9.49,8.03,6.97
Tonga,18.59,16.24,14.24,13.26,11.03,9.83,8.16,7.08,5.99
Portugal,10.41,9.03,5.88,4.85,4.01,3.89,3.72,3.87,3.82
Guam,14.0,13.3,11.52,9.75,8.04,7.19,6.07,5.42,4.73
Kyrgyzstan,15.36,14.16,13.56,11.6,10.95,9.34,7.75,6.83,5.96
