Country,1999-2001,2002-2004,2005-2007,2008-2009,2010-2011,2012-2013,2014-2015
India,,,46.92,44.24,42.21,40.27,38.42
Zambia,51.74,50.06,46.53,44.0,42.2,40.47,
Egypt,27.76,24.71,24.77,28.29,25.94,23.78,22.28
Ethiopia,56.98,53.5,49.73,46.99,44.92,42.55,40.18
Senegal,,,20.91,25.43,25.96,19.01,19.85
Nepal,57.24,53.93,49.15,44.69,41.32,38.98,37.03
"Moldova, Republic of",,,9.69,8.16,7.11,6.41,
Guinea,31.91,36.11,37.94,34.93,32.7,31.28,31.92
Thailand,,,15.82,16.01,16.17,15.2,11.4
Gambia,,,26.76,24.63,23.63,24.47,
Chad,44.66,44.7,42.83,40.58,39.39,39.79,40.09
Jordan,11.26,11.02,9.8,8.89,8.22,7.75,
Haiti,29.16,29.12,28.23,25.45,23.44,22.02,21.98
Mozambique,,46.7,45.01,43.58,43.1,,
Peru,31.04,30.01,28.91,25.66,21.43,18.02,14.76
