Country,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2019,2020-2020
Kiribati,,,47.6,,,22.2,,21.18,
Malawi,1.79,,,2.31,7.41,,5.75,,1.5
Singapore,6.37,6.65,8.7,6.5,6.18,6.98,,,
France,19.91,18.42,23.1,22.72,24.44,25.34,22.21,20.72,20.34
Slovakia,28.71,19.47,31.21,34.08,32.19,22.78,16.19,14.02,18.29
Poland,32.01,17.61,21.32,23.86,24.05,19.05,13.05,9.58,10.32
Timor-Leste,,,8.74,,25.09,10.91,,,
Tuvalu,,,,,,9.83,,,
Gabon,,,30.55,,,,,,
Aruba,,23.51,29.88,,,,,,
Pakistan,1.02,0.9,1.27,1.81,5.04,5.65,8.16,,
Congo,40.98,,18.67,,,,,,
Grenada,,,,,,,,,
Saint Lucia,,,,,,,45.84,39.59,
Botswana,27.66,,28.16,,,,,39.0,44.9
Argentina,21.28,16.53,17.71,15.9,16.85,,20.36,23.87,26.81
Mali,,,7.91,,7.22,10.56,10.2,,
Dominica,,,,,,,,,
Croatia,28.7,21.4,27.62,39.6,47.4,36.31,23.34,14.53,18.71
Colombia,17.78,17.08,17.42,15.61,13.92,13.0,14.08,15.91,20.71
Ecuador,6.62,7.22,7.88,7.46,7.19,7.56,6.49,6.86,8.72
Libya,,,,40.82,,,,,
Romania,21.94,19.95,21.66,23.13,23.38,20.22,17.2,16.34,17.86
Ethiopia,2.63,,,,2.65,,,,
Guatemala,2.7,,4.71,4.14,5.04,4.14,3.75,4.04,
Hong Kong,13.33,10.7,14.61,10.93,10.86,11.2,9.59,10.53,17.33
United Kingdom,15.0,16.45,21.93,23.85,20.98,15.5,12.87,12.97,
