Country,1990-1994,1995-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Guinea,14.28,3.3,6.1,23.78,10.89,5.36,8.12,8.64
Mauritania,8.42,8.0,5.84,12.13,12.15,-1.97,5.67,4.61
Panama,2.67,0.59,0.65,2.63,5.61,4.59,1.18,1.34
Bulgaria,87.22,229.88,4.88,7.5,4.73,1.37,4.4,8.77
Ireland,2.15,4.04,5.71,2.05,-1.67,2.93,1.58,2.2
Tonga,11.28,0.79,5.86,8.44,4.43,1.78,5.38,0.79
Faroe Islands,,,,,2.47,1.68,2.85,1.86
Chad,8.08,4.65,5.27,11.51,3.52,-2.72,1.62,3.98
Malawi,18.76,41.93,32.17,12.41,11.5,21.37,11.31,17.19
United Kingdom,4.35,3.62,1.79,2.65,2.27,1.41,1.96,4.31
El Salvador,14.86,5.22,2.77,3.94,3.0,1.35,1.05,3.67
South Africa,13.72,8.39,8.98,6.49,7.05,5.36,5.26,5.26
Hong Kong,8.31,2.58,-3.64,-0.28,1.27,2.96,2.56,1.55
Denmark,1.81,1.65,2.34,2.38,2.13,1.18,0.81,2.59
New Caledonia,,,,,,,0.83,3.03
Hungary,24.73,18.16,8.54,4.2,3.37,3.05,3.75,10.45
Tunisia,5.28,4.06,3.04,3.37,4.44,4.51,6.18,5.64
Myanmar,24.47,26.98,22.33,16.93,8.95,3.89,5.06,9.64
Bangladesh,3.19,4.74,4.1,5.37,7.41,6.72,5.31,4.98
