Country,1970-1974,1975-1979,1980-1984,1985-1989,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009
Equatorial Guinea,2.9,3.52,4.16,4.86,5.45,5.98,6.5,7.02,7.52
Seychelles,3.82,4.5,5.26,6.06,6.88,7.6,8.32,9.05,9.73
Suriname,4.04,4.6,5.1,5.6,6.05,6.45,6.85,7.18,7.55
"Tanzania, United Republic of",2.12,2.52,3.0,3.5,3.95,4.35,4.75,5.15,5.55
Italy,6.66,7.26,7.84,8.42,8.95,9.35,9.75,10.15,10.52
Mozambique,1.12,1.38,1.66,1.98,2.28,2.58,2.85,3.18,3.5
Togo,1.44,1.82,2.2,2.7,3.15,3.55,4.05,4.53,5.03
Egypt,2.92,3.56,4.22,4.92,5.55,6.1,6.68,7.2,7.72
Sri Lanka,5.26,5.88,6.44,6.98,7.35,7.75,8.22,8.65,9.05
Philippines,5.32,5.9,6.5,7.0,7.42,7.75,8.1,8.43,8.72
Côte d'Ivoire,1.28,1.56,1.86,2.24,2.6,2.95,3.25,3.65,3.98
Mongolia,5.72,6.3,6.9,7.38,7.75,8.07,8.38,8.68,8.93
Cambodia,2.28,2.7,3.1,3.5,3.85,4.18,4.53,4.85,5.25
Central African Republic,1.38,1.72,2.1,2.52,2.95,3.25,3.65,4.05,4.45
Nicaragua,2.54,2.92,3.32,3.76,4.15,4.53,4.85,5.22,5.55
France,6.42,7.02,7.6,8.16,8.65,9.12,9.55,9.95,10.35
Croatia,5.72,6.52,7.3,8.08,8.72,9.3,9.88,10.38,10.88
Algeria,1.0,1.3,1.7,2.2,2.65,3.15,3.6,4.08,4.55
Portugal,3.3,3.88,4.42,5.0,5.52,5.98,6.45,6.93,7.4
Cameroon,2.06,2.5,3.04,3.64,4.2,4.72,5.28,5.8,6.4
