Country,2006-2009,2010-2013,2014-2016,2017-2019,2020-2022
Nigeria,,,13.48,14.09,4.34
Mozambique,,,16.43,,
Djibouti,,,,27.47,
Kenya,,,4.17,8.14,7.98
Côte d'Ivoire,,15.01,5.15,5.94,6.25
"Congo, The Democratic Republic of the",,6.67,,,7.49
Guinea,,,,18.25,
Latvia,9.67,17.5,11.27,8.49,8.91
Bahrain,,1.56,,,
Yemen,,19.26,17.3,,
"Micronesia, Federated States of",,,10.24,,
Viet Nam,,1.82,2.38,2.28,2.36
Mongolia,7.37,5.29,6.23,8.63,8.1
Monaco,,,6.46,,
Ukraine,,8.25,10.4,12.3,10.44
Lesotho,,,,8.66,
South Sudan,8.62,,,,
Malta,4.78,5.0,3.86,3.56,3.81
Albania,16.48,16.0,19.98,14.6,
Namibia,,18.26,14.28,23.94,
