Country,1950-1975,1976-2000,2001-2025,2026-2050,2051-2075,2076-2100
Fiji,76536.62,102321.0,96010.68,83920.0,73690.68,61826.12
Kazakhstan,1369177.77,1673894.56,1697104.76,2059072.68,2188138.8,2118373.64
Ireland,306311.04,300403.8,313528.2,292635.96,272065.16,258622.0
Puerto Rico,355752.92,329096.64,196510.6,113636.92,73170.04,46041.32
"Venezuela, Bolivarian Republic of",1622955.65,2575075.24,2747779.28,2484385.96,2139910.68,1804973.8
Aruba,7705.42,6401.64,5771.48,3925.44,2944.4,2390.8
Hong Kong,447191.69,380234.68,277835.52,183287.16,165730.8,159852.84
Panama,212794.42,304926.04,372426.28,376549.36,344915.76,306774.72
Thailand,5059557.08,5403973.12,3872205.64,2788740.96,2152423.0,1731021.44
Lao People's Democratic Republic,384801.85,702888.24,783211.28,727370.68,626626.12,520803.32
Slovakia,425186.62,411764.48,282228.32,239582.12,205253.24,174840.16
Sudan,1788390.38,3725344.12,5915820.12,8490985.72,10006413.64,10354197.32
Marshall Islands,3673.62,8204.16,6493.68,3932.32,3489.76,3016.4
Liechtenstein,1740.81,1882.92,1884.36,1765.4,1700.68,1659.2
stbar,250.77,340.56,475.68,330.36,243.8,183.28
Western Sahara,7627.65,25194.44,42630.32,48952.4,51938.84,53347.76
Eswatini,71716.19,142698.08,147150.0,139632.4,134350.6,123648.8
