Country,1960-1972,1973-1985,1986-1998,1999-2011,2012-2023
Peru,3.6,3.6,3.79,4.67,5.7
Australia,6.09,5.49,6.37,7.09,6.48
Egypt,4.19,3.89,3.49,4.5,5.04
United States,5.81,5.47,5.86,7.39,6.47
Bulgaria,6.01,6.83,6.41,7.14,7.57
Guinea-Bissau,5.44,3.64,2.93,2.77,3.25
Brunei Darussalam,3.86,3.46,3.96,5.88,7.09
Czechia,5.87,5.84,7.14,7.17,7.68
Andorra,6.2,5.49,6.52,8.41,9.22
Portugal,5.63,5.88,5.94,6.98,7.6
"Moldova, Republic of",4.77,5.99,5.44,7.4,6.18
Nicaragua,3.09,2.97,2.9,3.67,4.74
Iraq,4.15,3.17,3.03,3.06,4.16
Qatar,3.94,3.69,6.08,7.91,7.43
Croatia,4.85,7.23,6.63,7.67,6.96
"Palestine, State of",2.63,2.73,2.74,3.1,3.52
Bahamas,4.11,4.25,4.37,6.09,7.11
Ireland,5.75,4.6,5.69,6.45,7.06
Sint Maarten (Dutch part),3.58,2.95,5.5,8.54,11.16
Zimbabwe,3.21,2.84,2.75,2.63,2.89
New Zealand,5.53,5.07,6.06,7.1,6.54
Senegal,3.85,3.81,3.17,2.95,3.28
Namibia,3.57,2.9,3.14,3.33,4.16
Cambodia,3.71,3.18,2.53,4.62,5.47
