Country,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2022
Madagascar,2.45,2.12,2.04,2.25,2.88,3.95
Myanmar,6.75,12.35,23.99,44.12,67.32,82.8
Gabon,80.75,85.4,89.55,92.65,94.62,95.73
Dominica,96.31,97.6,97.93,97.56,96.83,96.28
Georgia,85.94,89.65,92.68,95.02,96.6,97.4
Nauru,100.0,100.0,100.0,100.0,100.0,100.0
Mauritania,56.38,64.05,67.85,69.75,71.99,74.07
Marshall Islands,15.12,42.1,72.0,84.45,87.01,86.87
Botswana,72.42,77.9,81.58,83.8,85.28,86.57
Nigeria,2.05,2.52,3.62,7.75,22.48,41.25
Montenegro,82.25,79.15,75.53,72.75,71.4,71.3
Jamaica,98.52,98.05,95.88,91.48,84.18,74.75
Tonga,78.7,84.51,88.4,91.14,93.5,95.02
Slovenia,100.0,100.0,100.0,100.0,100.0,100.0
Togo,1.05,3.15,7.12,12.72,18.38,22.92
Uruguay,100.0,100.0,100.0,100.0,100.0,100.0
Fiji,46.22,46.42,49.38,55.54,64.25,72.03
Haiti,5.98,6.42,6.65,6.6,6.6,6.63
Poland,100.0,100.0,100.0,100.0,100.0,100.0
Benin,2.0,5.28,8.4,9.18,8.15,6.87
Comoros,1.45,3.58,6.96,10.9,14.45,17.0
"Tanzania, United Republic of",1.83,2.12,3.38,6.55,12.52,19.93
"Korea, Democratic People's Republic of",1.65,4.25,8.1,12.05,16.22,20.13
Uganda,3.62,2.82,2.58,2.45,2.0,1.37
Honduras,58.72,66.1,70.16,72.25,72.75,72.93
Saint Kitts and Nevis,100.0,100.0,100.0,100.0,100.0,100.0
Bahrain,100.0,100.0,100.0,100.0,100.0,100.0
Lithuania,100.0,100.0,100.0,100.0,100.0,100.0
Solomon Islands,37.5,37.1,36.78,36.4,36.06,34.77
