Country,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019,2020-2021
Chile,25.62,25.62,25.61,25.61,25.59,25.6,25.61,25.62,25.62,25.62
Jamaica,73.92,74.36,74.31,74.03,73.86,73.86,73.54,73.54,,73.93
Saint Lucia,91.75,92.25,92.25,92.25,92.48,92.79,94.7,96.45,96.45,96.45
Malawi,107.8,108.27,107.58,107.58,106.27,106.27,101.6,101.6,102.53,102.53
Gambia,,,104.65,104.65,105.06,105.89,,,106.32,106.32
Barbados,95.25,95.85,95.85,95.75,95.75,95.79,,,,97.18
Montenegro,,,,,,7.94,7.94,7.94,7.93,7.93
France,12.79,13.03,13.0,13.11,11.75,11.36,8.41,5.76,5.75,5.75
Côte d'Ivoire,14.71,14.71,14.68,14.67,14.66,14.66,14.58,14.5,14.5,14.5
Djibouti,44.05,44.05,44.05,44.05,45.16,45.16,45.16,,,
Guyana,77.03,77.4,77.4,76.82,76.62,76.62,76.62,76.62,76.46,76.3
Argentina,32.96,32.96,33.09,33.09,32.97,32.97,32.96,32.96,33.04,33.04
Croatia,12.79,13.03,13.0,13.11,11.75,11.36,8.41,5.76,5.75,5.75
Mongolia,,18.95,18.95,18.95,18.94,18.94,18.99,18.98,18.98,18.98
Fiji,,,40.44,44.14,46.83,45.27,40.41,40.42,40.42,40.42
Oman,,22.63,22.5,22.46,22.52,22.41,22.41,22.46,22.51,22.51
Papua New Guinea,39.37,39.18,39.09,40.42,44.2,45.86,,,41.25,41.25
Angola,,,56.2,56.27,56.28,56.27,56.31,56.31,56.26,56.26
Kyrgyzstan,,9.86,9.88,9.85,9.75,9.75,9.86,10.0,10.03,10.03
Gabon,38.52,38.78,38.53,38.4,38.39,38.39,38.39,38.39,38.39,
Benin,,58.99,58.91,58.85,58.81,58.81,58.53,58.25,58.25,58.25
Sweden,12.79,13.03,13.0,13.11,11.75,11.36,8.41,5.76,5.75,5.75
Luxembourg,12.79,13.03,13.0,13.11,11.75,11.36,8.41,5.76,5.75,5.75
Tajikistan,,,,,9.02,8.72,8.7,8.68,,8.5
Madagascar,29.84,29.84,29.72,29.71,29.68,29.67,29.67,29.7,29.72,29.72
Solomon Islands,,,,75.4,75.39,75.44,77.12,77.12,77.03,76.93
Spain,12.79,13.03,13.0,13.11,11.75,11.36,8.41,5.76,5.75,5.75
