Country,2004-2007,2008-2010,2011-2012,2013-2014,2015-2016
Germany,21.09,22.94,22.94,23.19,22.98
Niger,52.8,50.78,49.14,62.59,42.82
Georgia,,13.6,,,
Afghanistan,,13.26,10.55,11.68,11.14
Aruba,17.68,,25.1,,
Türkiye,,,11.75,11.5,12.54
Luxembourg,21.17,21.08,19.66,20.22,19.41
Latvia,22.12,28.09,30.41,32.18,27.36
Morocco,43.59,32.59,35.09,,
Israel,16.99,16.1,16.72,17.74,18.65
United Kingdom,24.28,28.71,29.46,22.74,22.12
Bangladesh,12.18,11.48,10.82,,9.88
Nicaragua,2.98,7.43,,,
Estonia,23.63,30.63,26.92,23.49,21.71
Yemen,,,11.77,,
Fiji,16.11,,5.69,,
Marshall Islands,,,,,
"Korea, Republic of",,,,,28.18
Syrian Arab Republic,13.62,15.07,14.25,,
"Venezuela, Bolivarian Republic of",7.96,16.29,,,14.79
Thailand,14.78,9.84,16.32,18.0,
Belize,19.87,23.92,23.12,22.87,26.06
Czechia,20.74,22.44,24.0,23.64,22.99
Ireland,21.1,27.7,26.71,22.67,16.18
Cuba,48.51,52.07,,,
Algeria,,,,,
