Country,2002-2005,2006-2008,2009-2011,2012-2014,2015-2016
Fiji,17.37,,15.78,12.35,
Ukraine,,,28.13,30.59,26.25
Greece,,,,,20.24
Comoros,5.58,16.15,9.63,8.93,
Lithuania,14.98,15.88,20.17,19.11,19.05
Yemen,,,18.06,,
Mali,,10.33,9.93,10.87,11.39
Gabon,,,4.72,,
Nepal,11.8,14.17,12.97,11.94,12.36
Mozambique,,12.47,,14.64,
"Korea, Republic of",,,,,27.85
Sweden,23.11,23.84,26.2,22.05,21.54
Algeria,10.99,,,,
Finland,17.4,17.27,19.95,20.82,21.75
Liberia,,,,,9.22
Mexico,12.99,13.45,14.16,14.14,14.1
Serbia,,51.71,51.32,,43.65
India,,,8.04,9.6,
Niger,,30.21,24.11,23.85,19.5
Cambodia,5.12,,4.98,6.23,
"Congo, The Democratic Republic of the",,,3.1,7.19,
Cameroon,6.03,6.13,5.83,5.45,
El Salvador,10.43,9.97,11.37,12.38,14.86
Puerto Rico,,,,18.93,
Maldives,13.7,15.2,16.53,15.63,17.39
Malaysia,16.59,11.33,13.84,16.36,16.1
Costa Rica,16.7,15.22,22.95,24.9,25.79
Ethiopia,,,8.69,8.47,7.88
