Country,1999-2001,2002-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018
Seychelles,7.97,6.75,6.58,,,,4.06,3.8,3.39
Madagascar,30.29,30.5,,,,,,,23.87
Sierra Leone,,,,,,12.94,8.51,11.17,4.4
Czechia,12.5,,,12.04,10.69,10.08,9.43,8.96,9.09
Tunisia,13.45,9.32,8.43,5.67,4.72,3.86,3.6,3.35,3.7
Paraguay,16.16,14.84,12.82,12.51,12.21,12.97,,12.61,
Chile,,,,4.96,5.62,6.66,6.02,5.55,5.16
Morocco,15.06,15.81,14.91,12.38,11.49,11.51,10.58,12.11,11.26
Brunei Darussalam,,,3.32,3.07,2.18,2.04,2.5,4.08,3.92
Slovakia,12.33,14.0,14.24,14.67,15.65,15.3,14.59,14.73,14.55
United Kingdom,0.0,0.87,1.6,1.19,0.98,0.98,1.12,1.12,1.11
Cameroon,,,,,,10.89,9.46,11.34,11.2
Algeria,9.64,9.58,10.0,8.61,8.8,6.83,5.84,5.03,4.85
Maldives,23.55,18.5,12.03,9.36,4.62,6.0,3.57,2.24,1.49
Haiti,,,,,,,,,
Fiji,4.33,4.59,4.82,5.01,4.49,4.36,7.37,4.52,
Myanmar,7.44,8.99,9.53,9.32,9.38,,,,9.29
Bangladesh,,,3.45,6.73,7.28,,,,
Barbados,3.87,4.16,5.36,4.05,5.11,4.37,1.77,1.3,1.34
Saint Vincent and the Grenadines,6.38,6.08,8.54,4.23,3.3,2.98,2.06,1.92,1.84
Guatemala,12.63,13.58,13.17,12.58,13.09,11.7,11.41,10.4,9.2
Kazakhstan,2.51,2.38,1.97,1.63,1.21,0.79,0.61,0.94,0.43
Spain,2.02,2.32,2.6,2.56,2.59,2.45,5.92,5.66,5.69
Nauru,,,,9.33,,15.27,1.6,1.82,
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,1.25,1.11,1.01,0.69,0.49,0.49,0.43,0.41,0.41
Iceland,0.04,0.03,0.06,0.04,0.04,0.02,0.01,0.04,0.02
Sudan,,,,,,12.19,12.25,12.25,16.65
Australia,5.6,6.02,6.18,6.17,6.4,6.75,6.53,3.38,3.41
